"SampleID","SampleID.1","Message"
"mmu-miR-409-5p	9.774602208	10.06269456	10.02718539	10.32899818	10.46427136	10.05609279	9.702800869	9.19566613	9.273352409	9.17389044	9.452786628	8.92641299","mmu-miR-409-5p	9.774602208	10.06269456	10.02718539	10.32899818	10.46427136	10.05609279	9.702800869	9.19566613	9.273352409	9.17389044	9.452786628	8.92641299","No results found"
"mmu-miR-450a-5p	5.238441658	7.776681954	7.202798263	7.108301594	6.797388096	6.565964138	6.525423973	6.336209789	5.799450463	6.502092427	5.911426924	6.055619157","mmu-miR-450a-5p	5.238441658	7.776681954	7.202798263	7.108301594	6.797388096	6.565964138	6.525423973	6.336209789	5.799450463	6.502092427	5.911426924	6.055619157","No results found"
"mmu-miR-467a-5p	8.003495736	8.412255091	8.473121058	7.992996498	8.120194393	8.514119259	7.741743645	7.490918287	7.565344745	7.395420987	7.55022597	7.361060879","mmu-miR-467a-5p	8.003495736	8.412255091	8.473121058	7.992996498	8.120194393	8.514119259	7.741743645	7.490918287	7.565344745	7.395420987	7.55022597	7.361060879","No results found"
"mmu-miR-100-5p	13.59256443	14.36512872	14.36594426	14.28371412	14.3132718	14.29474639	13.74147222	13.36870192	13.38995337	13.53097901	13.59065478	13.28896188","mmu-miR-100-5p	13.59256443	14.36512872	14.36594426	14.28371412	14.3132718	14.29474639	13.74147222	13.36870192	13.38995337	13.53097901	13.59065478	13.28896188","No results found"
"mmu-miR-1224-5p	6.795694259	7.941408907	7.977241325	8.370640029	7.92862147	6.857605978	7.145015878	6.979943464	6.62968546	6.676277469	7.213427556	7.486828","mmu-miR-1224-5p	6.795694259	7.941408907	7.977241325	8.370640029	7.92862147	6.857605978	7.145015878	6.979943464	6.62968546	6.676277469	7.213427556	7.486828","No results found"
"mmu-miR-148a-3p	8.168765354	8.827114235	8.526442072	8.917213478	8.450309433	8.572347139	8.254182383	7.953405457	7.744228855	7.952267706	7.881403133	7.569597683","mmu-miR-148a-3p	8.168765354	8.827114235	8.526442072	8.917213478	8.450309433	8.572347139	8.254182383	7.953405457	7.744228855	7.952267706	7.881403133	7.569597683","No results found"
"mmu-miR-125b-5p	15.39455573	15.69007221	15.66948766	16.02401932	15.92624059	15.57955824	15.38320735	15.1072462	15.16671224	15.00622851	14.99564156	15.04530873","mmu-miR-125b-5p	15.39455573	15.69007221	15.66948766	16.02401932	15.92624059	15.57955824	15.38320735	15.1072462	15.16671224	15.00622851	14.99564156	15.04530873","No results found"
"mmu-miR-30e-5p	8.020342922	8.875626428	9.218983196	9.335199217	8.667085975	8.524107071	8.723529448	8.277299174	7.995788793	8.668840462	7.915292495	7.515908809","mmu-miR-30e-5p	8.020342922	8.875626428	9.218983196	9.335199217	8.667085975	8.524107071	8.723529448	8.277299174	7.995788793	8.668840462	7.915292495	7.515908809","No results found"
"mmu-miR-152-3p	9.074478427	10.85992413	10.82619157	10.48956626	10.53680253	10.53777466	9.964160202	10.04574808	9.811381453	10.40122691	9.699996744	9.594112204","mmu-miR-152-3p	9.074478427	10.85992413	10.82619157	10.48956626	10.53680253	10.53777466	9.964160202	10.04574808	9.811381453	10.40122691	9.699996744	9.594112204","No results found"
"mmu-miR-127-3p	15.3041272	15.51065735	15.56583975	15.38269804	15.51947584	15.19837263	14.91274921	14.75478325	14.94387979	14.68711821	14.76350108	15.07818617","mmu-miR-127-3p	15.3041272	15.51065735	15.56583975	15.38269804	15.51947584	15.19837263	14.91274921	14.75478325	14.94387979	14.68711821	14.76350108	15.07818617","No results found"
"mmu-miR-125a-5p	12.75830462	13.29137471	13.34399105	13.71793725	13.50225592	13.12753483	12.91710953	12.74659793	12.77472006	12.78796205	12.70000849	12.82834091","mmu-miR-125a-5p	12.75830462	13.29137471	13.34399105	13.71793725	13.50225592	13.12753483	12.91710953	12.74659793	12.77472006	12.78796205	12.70000849	12.82834091","No results found"
"mmu-miR-204-3p	7.721591143	7.569070902	7.845217426	7.965112852	8.056773019	7.21553162	6.826321959	7.096905387	7.012911252	7.512835547	7.138891899	7.580650427","mmu-miR-204-3p	7.721591143	7.569070902	7.845217426	7.965112852	8.056773019	7.21553162	6.826321959	7.096905387	7.012911252	7.512835547	7.138891899	7.580650427","No results found"
"mmu-miR-34c-5p	10.35252012	11.37938385	11.36422011	11.08073206	10.87927126	11.09499199	10.29597251	10.78611286	10.43265333	10.9956025	10.1540212	10.46096407","mmu-miR-34c-5p	10.35252012	11.37938385	11.36422011	11.08073206	10.87927126	11.09499199	10.29597251	10.78611286	10.43265333	10.9956025	10.1540212	10.46096407","No results found"
"mmu-miR-186-5p	8.380754075	8.59986914	8.646526656	8.966899335	8.759181366	8.6090063	8.146238372	8.184153541	8.145716847	7.968600527	8.327858376	8.156301577","mmu-miR-186-5p	8.380754075	8.59986914	8.646526656	8.966899335	8.759181366	8.6090063	8.146238372	8.184153541	8.145716847	7.968600527	8.327858376	8.156301577","No results found"
"mmu-miR-204-5p	13.04206251	13.52443785	13.62840559	13.27611166	13.09160596	12.985568	12.56382907	12.68907982	12.70985072	13.46575111	12.47364234	12.55980603","mmu-miR-204-5p	13.04206251	13.52443785	13.62840559	13.27611166	13.09160596	12.985568	12.56382907	12.68907982	12.70985072	13.46575111	12.47364234	12.55980603","No results found"
"mmu-miR-194-5p	7.748803351	8.06884293	8.10370399	8.140692742	8.282068846	7.745913196	7.518839144	7.647492929	7.506186031	7.65585763	7.53415949	7.521655284","mmu-miR-194-5p	7.748803351	8.06884293	8.10370399	8.140692742	8.282068846	7.745913196	7.518839144	7.647492929	7.506186031	7.65585763	7.53415949	7.521655284","No results found"
"mmu-miR-30d-5p	11.63661899	12.27789115	12.30579978	12.38339222	12.14713007	12.25629979	12.09533005	11.77339732	11.65649256	11.82393943	11.57865917	11.42632348","mmu-miR-30d-5p	11.63661899	12.27789115	12.30579978	12.38339222	12.14713007	12.25629979	12.09533005	11.77339732	11.65649256	11.82393943	11.57865917	11.42632348","No results found"
"mmu-let-7d-3p	8.731609967	9.14223982	9.296265076	9.440738425	9.491786535	8.689819806	8.698269039	8.584963309	8.649979047	8.624432905	8.805819884	8.97852779","mmu-let-7d-3p	8.731609967	9.14223982	9.296265076	9.440738425	9.491786535	8.689819806	8.698269039	8.584963309	8.649979047	8.624432905	8.805819884	8.97852779","No results found"
"mmu-miR-132-3p	13.22206536	11.74563855	12.02739766	12.35511771	12.39845612	12.07072391	12.74476187	13.14432313	13.1931536	12.77085615	13.28545153	13.3893147","mmu-miR-132-3p	13.22206536	11.74563855	12.02739766	12.35511771	12.39845612	12.07072391	12.74476187	13.14432313	13.1931536	12.77085615	13.28545153	13.3893147","No results found"
"mmu-miR-203-3p	6.109903084	5.797153588	6.266996995	4.963795348	4.650829173	5.873866616	6.402007753	6.587583147	6.6206065	6.227969996	6.570789684	6.367825394","mmu-miR-203-3p	6.109903084	5.797153588	6.266996995	4.963795348	4.650829173	5.873866616	6.402007753	6.587583147	6.6206065	6.227969996	6.570789684	6.367825394","No results found"
"mmu-miR-382-5p	12.46151063	11.40490826	11.54760105	11.52057619	11.41679997	11.49296064	12.14704035	12.35549215	12.4290472	12.13410337	12.63520693	12.80842536","mmu-miR-382-5p	12.46151063	11.40490826	11.54760105	11.52057619	11.41679997	11.49296064	12.14704035	12.35549215	12.4290472	12.13410337	12.63520693	12.80842536","No results found"
"mmu-miR-1843a-5p	6.749289476	6.181322072	6.015273771	5.391863465	5.593173736	5.593993667	6.532167316	6.636551182	6.719592066	6.527119967	6.943500937	7.070924102","mmu-miR-1843a-5p	6.749289476	6.181322072	6.015273771	5.391863465	5.593173736	5.593993667	6.532167316	6.636551182	6.719592066	6.527119967	6.943500937	7.070924102","No results found"
"mmu-miR-26a-5p	15.31255224	14.45746429	14.64224318	14.52103125	14.39953845	14.93793555	15.22412812	15.45178592	15.49568702	15.45170456	15.67292848	15.80765563","mmu-miR-26a-5p	15.31255224	14.45746429	14.64224318	14.52103125	14.39953845	14.93793555	15.22412812	15.45178592	15.49568702	15.45170456	15.67292848	15.80765563","No results found"
"mmu-miR-187-3p	7.774408733	6.665112537	6.389431239	6.705367715	5.690859908	6.563199006	7.102606085	7.39531483	7.783400664	7.075496909	7.834942272	7.952296698","mmu-miR-187-3p	7.774408733	6.665112537	6.389431239	6.705367715	5.690859908	6.563199006	7.102606085	7.39531483	7.783400664	7.075496909	7.834942272	7.952296698","No results found"
"mmu-miR-487b-3p	10.72330273	9.414931669	9.417447427	9.432187789	9.451614616	9.712069549	10.19521385	10.68514185	10.78627536	10.34388595	10.74187526	10.6916046","mmu-miR-487b-3p	10.72330273	9.414931669	9.417447427	9.432187789	9.451614616	9.712069549	10.19521385	10.68514185	10.78627536	10.34388595	10.74187526	10.6916046","No results found"
"mmu-let-7e-5p	13.36818695	12.18425734	12.25992749	12.2146327	12.24508962	12.39318432	13.10108538	13.32652159	13.35295679	13.23150124	13.46643847	13.58669037","mmu-let-7e-5p	13.36818695	12.18425734	12.25992749	12.2146327	12.24508962	12.39318432	13.10108538	13.32652159	13.35295679	13.23150124	13.46643847	13.58669037","No results found"
"mmu-miR-674-5p	10.13772795	9.187877536	8.920138896	8.907221875	9.108298386	9.028353266	9.732381331	10.17284184	10.14633574	9.908774697	10.4735838	10.43074245","mmu-miR-674-5p	10.13772795	9.187877536	8.920138896	8.907221875	9.108298386	9.028353266	9.732381331	10.17284184	10.14633574	9.908774697	10.4735838	10.43074245","No results found"
"mmu-let-7a-5p	15.01947049	14.05800144	14.15458889	13.98123001	14.10669205	14.22481295	14.94075643	15.19732546	15.23912895	15.11936269	15.25913428	15.37617539","mmu-let-7a-5p	15.01947049	14.05800144	14.15458889	13.98123001	14.10669205	14.22481295	14.94075643	15.19732546	15.23912895	15.11936269	15.25913428	15.37617539","No results found"
"mmu-miR-431-5p	8.172956965	6.785622806	6.872207464	6.371492231	6.571372907	6.565964138	7.680841841	7.928784287	8.190886928	7.704207697	8.095797209	8.060865021","mmu-miR-431-5p	8.172956965	6.785622806	6.872207464	6.371492231	6.571372907	6.565964138	7.680841841	7.928784287	8.190886928	7.704207697	8.095797209	8.060865021","No results found"
"mmu-let-7c-5p	15.25711415	14.24040655	14.26594061	14.22046841	14.33950581	14.45632683	15.18459837	15.36046106	15.458463	15.37395144	15.54142732	15.79280683","mmu-let-7c-5p	15.25711415	14.24040655	14.26594061	14.22046841	14.33950581	14.45632683	15.18459837	15.36046106	15.458463	15.37395144	15.54142732	15.79280683","No results found"
"mmu-miR-666-5p	6.120359137	4.453723457	5.098011403	4.051125522	5.411114317	5.415403797	5.847800746	6.239420035	6.151141685	5.754449926	6.512940803	6.58646178","mmu-miR-666-5p	6.120359137	4.453723457	5.098011403	4.051125522	5.411114317	5.415403797	5.847800746	6.239420035	6.151141685	5.754449926	6.512940803	6.58646178","No results found"
"mmu-miR-874-3p	8.096461983	6.457200226	6.872207464	7.407734064	6.298490958	7.322415918	8.124091827	8.275672989	8.277915673	8.296745209	8.191096782	8.137712655","mmu-miR-874-3p	8.096461983	6.457200226	6.872207464	7.407734064	6.298490958	7.322415918	8.124091827	8.275672989	8.277915673	8.296745209	8.191096782	8.137712655","No results found"
"mmu-miR-491-5p	4.826457557	2.966233614	4.677633816	4.457271588	2.616024707	4.080344589	4.926114906	5.292913605	5.024780529	5.021597107	5.262793975	5.646157002","mmu-miR-491-5p	4.826457557	2.966233614	4.677633816	4.457271588	2.616024707	4.080344589	4.926114906	5.292913605	5.024780529	5.021597107	5.262793975	5.646157002","No results found"
"mmu-miR-92b-5p	5.833114109	4.658694825	4.971026092	2.875250191	3.434719462	4.517469718	5.561759138	5.802336689	5.775109049	5.682013098	5.936092123	6.094694521","mmu-miR-92b-5p	5.833114109	4.658694825	4.971026092	2.875250191	3.434719462	4.517469718	5.561759138	5.802336689	5.775109049	5.682013098	5.936092123	6.094694521","No results found"
"mmu-miR-770-5p	7.362102596	4.631136652	6.575541726	6.715973544	4.258353403	5.510334348	7.100339079	7.340367638	7.490074998	7.387850245	7.435542436	7.844090578","mmu-miR-770-5p	7.362102596	4.631136652	6.575541726	6.715973544	4.258353403	5.510334348	7.100339079	7.340367638	7.490074998	7.387850245	7.435542436	7.844090578","No results found"
"mmu-miR-323-5p	5.413028833	4.138485464	4.706912377	4.732649999	-1.295452645	3.933910451	5.072076074	5.894222568	5.948383509	5.24587617	6.462895805	6.785865772","mmu-miR-323-5p	5.413028833	4.138485464	4.706912377	4.732649999	-1.295452645	3.933910451	5.072076074	5.894222568	5.948383509	5.24587617	6.462895805	6.785865772","No results found"
