"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"Chmp5"	"Loxl2"	"Clpx"	"Grhl3"	"Adnp"	"Actg2"	"Atp6v1a"	"	"	"Cd4"	"Huwe1"	"Acsl4"	"	"	"Alas1"	"Acads"	"	"	"Pofut2"	"Cmtm7"	"Hlf"	"6030458C11Rik"	"	"	"Myl6b"	"Adcy1"	"Tmbim6"	"5031439G07Rik"	"Dck"	"	"	"Cdc27"	"Acbd3"	"Dnajb5"	"Xkr8"	"Abat"	"6030458C11Rik"	"4933434E20Rik"	"AI467606"	"Thap12"	"Arl14epl"	"2510009E07Rik"	"Acp5"	"Acaca"	"Anxa2"	"Abca3"	"1810037I17Rik"	"Fnbp4"	"Abl1"	"Aco1"	"Msi2"	"Acsm2"	"1700066M21Rik"	"	"	"	"	"1700123O20Rik"	"Anapc1"	"1700025G04Rik"	"Gfpt1"	"1810055G02Rik"	"	"	"Ppp1r3d"	"Hsbp1l1"	"	"	"Ttc38"	"Gje1"
"Comt"	"Mlph"	"Cnot11"	"Gskip"	"Akap10"	"Actl6a"	"Bmt2"	"	"	"Cdkn2aipnl"	"Il5ra"	"Adam10"	"	"	"Anapc1"	"Acadvl"	"	"	"Sco1"	"Cps1"	"Hsd17b1"	"9330159F19Rik"	"	"	"Nf2"	"Adgrg1"	"Vasp"	"5730409E04Rik"	"Elfn1"	"	"	"Cep120"	"Acer2"	"Dnmt3a"	"	"	"Abca1"	"9930012K11Rik"	"6030458C11Rik"	"AI837181"	"Tspan13"	"Atl2"	"2900026A02Rik"	"Acsl1"	"Acadl"	"Ap3s1"	"Abcb11"	"2300009A05Rik"	"Galnt2"	"Abl2"	"Acvr2a"	"Ncoa2"	"Acsm3"	"1810030O07Rik"	"	"	"	"	"1810037I17Rik"	"Ankfy1"	"1700123O20Rik"	"Gng2"	"2310002L09Rik"	"	"	"	"	"Klf5"	"	"	"Zfp970"	"Glt8d1"
"Cops2"	"Nus1"	"Cntrl"	"Igf2"	"Akap13"	"Adam10"	"Bptf"	"	"	"Chd4"	"Ncam2"	"Adam17"	"	"	"Ankfy1"	"Aco2"	"	"	"Stx6"	"Fubp1"	"Kif1c"	"9930021J03Rik"	"	"	"Nol3"	"Adipor2"	"Wdr1"	"6430571L13Rik"	"Ereg"	"	"	"Cep162"	"Actr10"	"Fam3a"	"	"	"Abca3"	"9930021J03Rik"	"9130401M01Rik"	"AI987944"	"Utp6"	"Atp1b1"	"3110040N11Rik"	"Acsl4"	"Acbd5"	"Arhgap11a"	"Abcb4"	"2310061I04Rik"	"Gfm1"	"Acap2"	"Adam10"	"Spryd4"	"Actb"	"2210408I21Rik"	"	"	"	"	"1810055G02Rik"	"Ankrd11"	"1810030O07Rik"	"Kcnk6"	"2310022A10Rik"	"	"	"	"	"Mtrex"	"	"	"	"	"Gmeb1"
"Creb5"	"Otud6b"	"Cps1"	"Ikzf2"	"Akap7"	"Adamtsl3"	"Canx"	"	"	"Clasp2"	"Ndufa5"	"Adamts6"	"	"	"Ankhd1"	"Acsl1"	"	"	"Zfp598"	"Lmo4"	"Klk8"	"AI597479"	"	"	"Pbld1"	"Agrn"	"	"	"9530068E07Rik"	"Gfra2"	"	"	"Cep97"	"Actr2"	"Fzd8"	"	"	"Abca6"	"9930111J21Rik2"	"9930021J03Rik"	"AU040320"	"	"	"Atxn1"	"3110082I17Rik"	"Actb"	"Acin1"	"Arhgap21"	"Abcb7"	"2510039O18Rik"	"Golga2"	"Ache"	"Adam17"	"Stk39"	"Actn4"	"2310022A10Rik"	"	"	"	"	"2010003K11Rik"	"Ankrd60"	"1810037I17Rik"	"Lifr"	"2310022B05Rik"	"	"	"	"	"Nrcam"	"	"	"	"	"Gpx5"
"Cyth1"	"Ptprn2"	"Ctsc"	"Il5ra"	"Akt3"	"Add3"	"Cbfb"	"	"	"Clic5"	"Ptbp3"	"Adcy9"	"	"	"Anp32e"	"Actb"	"	"	"	"	"Lrp1"	"Krtap6-1"	"Aak1"	"	"	"Ppm1k"	"Ahcyl2"	"	"	"9930021J03Rik"	"Gpkow"	"	"	"Chd7"	"Acvr1b"	"Gigyf1"	"	"	"Abcb11"	"A130010J15Rik"	"A130010J15Rik"	"Aacs"	"	"	"Atxn7l1"	"4930486L24Rik"	"Actl6a"	"Aco1"	"Arhgap5"	"Abcc3"	"2900026A02Rik"	"Gon4l"	"Acsl3"	"Adnp"	"Tceanc2"	"Acvr1"	"2310022B05Rik"	"	"	"	"	"2310022A10Rik"	"Anks1b"	"1810055G02Rik"	"Lrrn4cl"	"2310061I04Rik"	"	"	"	"	"Pctp"	"	"	"	"	"Mxi1"
"Decr1"	"Slc16a9"	"Cyb5a"	"Irx2"	"Alg11"	"Adipor2"	"Ccnt2"	"	"	"Cltc"	"Rhbdl3"	"Agfg1"	"	"	"Anxa2"	"Adam23"	"	"	"	"	"Mgat5"	"Mup13"	"Abcb7"	"	"	"Rala"	"Akap6"	"	"	"9930111J21Rik2"	"Hnrnpul2"	"	"	"Cpeb3"	"Adam17"	"Gpc4"	"	"	"Abcb6"	"AB124611"	"AA467197"	"Aak1"	"	"	"B020031M17Rik"	"4930522L14Rik"	"Actn4"	"Acsl1"	"Arid2"	"Abcc9"	"3110040N11Rik"	"Ipo7"	"Acsl4"	"Adnp2"	"Trim65"	"Acy1"	"2310061I04Rik"	"	"	"	"	"2310022B05Rik"	"Anp32e"	"2010003K11Rik"	"Med18"	"2510009E07Rik"	"	"	"	"	"Ppp4r3a"	"	"	"	"	"Neu3"
"Edem3"	"Tnrc6b"	"Dcp2"	"Klf5"	"Amer1"	"Ago1"	"Cct4"	"	"	"Copg2"	"Sdad1"	"Agl"	"	"	"Ap1ar"	"Adarb1"	"	"	"	"	"Midn"	"Mup7"	"Abcc1"	"	"	"Rnf152"	"Aldh3a2"	"	"	"A630001G21Rik"	"Ifi44"	"	"	"Cyfip2"	"Adam1a"	"Grik3"	"	"	"Abcb7"	"AU040320"	"AI467606"	"Abat"	"	"	"Cap1"	"4931406C07Rik"	"Actr8"	"Acsl4"	"Arih1"	"Abhd16a"	"4833420G17Rik"	"Iqgap1"	"Actb"	"Aff1"	"Wbp1l"	"Adam10"	"2410004B18Rik"	"	"	"	"	"2310061I04Rik"	"Anxa5"	"2310009B15Rik"	"Mmachc"	"2610008E11Rik"	"	"	"	"	"Ppp6r1"	"	"	"	"	"Opcml"
"Foxo1"	"	"	"Echdc1"	"Ncf1"	"Angptl2"	"Ago3"	"Cd28"	"	"	"Crem"	"Stk10"	"Ago2"	"	"	"Ap2a2"	"Adipor1"	"	"	"	"	"Mtx3"	"Ppm1k"	"Abce1"	"	"	"Septin9"	"Aldoa"	"	"	"AI597479"	"Il17ra"	"	"	"Ddhd1"	"Adamts6"	"Impdh1"	"	"	"Abcc1"	"Aass"	"AW209491"	"Abca1"	"	"	"Capza2"	"5730409E04Rik"	"Acvr1"	"Actn1"	"Arl10"	"Abhd17b"	"4921524J17Rik"	"Iqsec1"	"Actr2"	"Aff4"	"Xpo7"	"Adam17"	"2510002D24Rik"	"	"	"	"	"2410002F23Rik"	"Ap2a1"	"2310011J03Rik"	"Mmp25"	"2610528J11Rik"	"	"	"	"	"Rnf111"	"	"	"	"	"Paxbp1"
"Gas2l3"	"	"	"Ecm2"	"Sel1l"	"Ank"	"Ahcyl1"	"Cdc42bpb"	"	"	"Cttnbp2nl"	"Tagap"	"Ago3"	"	"	"Arfgef1"	"Aff4"	"	"	"	"	"Osbpl8"	"Prr11"	"Abcg1"	"	"	"Ssr1"	"Alg2"	"	"	"AI837181"	"Itga4"	"	"	"Dock7"	"Adar"	"Ing4"	"	"	"Abcc2"	"Abcb6"	"Aaas"	"Abcb11"	"	"	"Cbx7"	"6430548M08Rik"	"Acvr1b"	"Adam17"	"Arl6ip1"	"Abhd18"	"4933434E20Rik"	"Ireb2"	"Actr3"	"Agap1"	"Zfp157"	"Adcy6"	"2510039O18Rik"	"	"	"	"	"2410004B18Rik"	"Appbp2"	"2310022A10Rik"	"Mocs1"	"2700049A03Rik"	"	"	"	"	"Sec24c"	"	"	"	"	"Rbm41"
"Gata6"	"	"	"Eif4b"	"Slc1a2"	"Ankhd1"	"Aida"	"Cep170"	"	"	"Dennd4a"	"Tagap1"	"Agpat5"	"	"	"Arl8a"	"Ahctf1"	"	"	"	"	"Ppp3cc"	"Ptprd"	"Abhd13"	"	"	"Tbc1d24"	"Amer1"	"	"	"Aaas"	"Lekr1"	"	"	"Dusp10"	"Add1"	"Ivd"	"	"	"Abcc3"	"Abcb7"	"Aak1"	"Abcb6"	"	"	"Cct6a"	"AA986860"	"Adam10"	"Adam9"	"Arpc5"	"Abhd2"	"5031439G07Rik"	"Itga5"	"Acvr1"	"Ago1"	"	"	"Adgrl2"	"2900026A02Rik"	"	"	"	"	"2510039O18Rik"	"Arhgap30"	"2310022B05Rik"	"Mrtfb"	"2700062C07Rik"	"	"	"	"	"Sema4d"	"	"	"	"	"Rheb"
"Gli3"	"	"	"Faf2"	"Tbx22"	"Ankrd17"	"Akap11"	"Cep350"	"	"	"Dnm2"	"Tbx3"	"Ahcyl1"	"	"	"Asxl2"	"Ahsg"	"	"	"	"	"Ptpn23"	"Rinl"	"Abl2"	"	"	"Wnt2b"	"Angptl2"	"	"	"Aacs"	"Map2k7"	"	"	"Dync1h1"	"Adm"	"Lrrc8a"	"	"	"Abcf2"	"Abcc5"	"Aatf"	"Abcb7"	"	"	"Cdh19"	"AB124611"	"Adamts6"	"Adi1"	"Asf1a"	"Abi1"	"6030458C11Rik"	"Mpg"	"Acvr2a"	"Ago2"	"	"	"Afmid"	"3425401B19Rik"	"	"	"	"	"2700049A03Rik"	"Arl16"	"2410002F23Rik"	"Mzt1"	"2810459M11Rik"	"	"	"	"	"Slc16a9"	"	"	"	"	"Sco1"
"Gmeb1"	"	"	"Fes"	"Tll1"	"Ankrd28"	"Akip1"	"Cmtr1"	"	"	"Dsg2"	"Tmem106b"	"Akap8l"	"	"	"Ate1"	"Aifm1"	"	"	"	"	"Rad21"	"Set"	"Ablim1"	"	"	"	"	"Ank2"	"	"	"Aak1"	"Mplkip"	"	"	"Dync1i2"	"Adnp"	"Man2c1"	"	"	"Abcg2"	"Abcg2"	"Abat"	"Abcc1"	"	"	"Cdk17"	"Aagab"	"Adamtsl4"	"Adk"	"Ash1l"	"Abracl"	"9130401M01Rik"	"Nelfa"	"Adam10"	"Ago3"	"	"	"Agap1"	"4833420G17Rik"	"	"	"	"	"2700062C07Rik"	"Arrb2"	"2410004B18Rik"	"Oscp1"	"2900026A02Rik"	"	"	"	"	"Spen"	"	"	"	"	"Smad9"
"Gpkow"	"	"	"Fgl1"	"Tnfrsf10b"	"Ankrd44"	"Akt3"	"Cux1"	"	"	"Dst"	"Uba1y"	"Akap9"	"	"	"Atg2b"	"Ak2"	"	"	"	"	"Rapgefl1"	"Stard6"	"Ablim3"	"	"	"	"	"Ankrd12"	"	"	"Aar2"	"Pcdh20"	"	"	"Eif4b"	"Aebp2"	"Mical2"	"	"	"Abhd17b"	"Abhd2"	"Abca1"	"Abcc2"	"	"	"Cemip2"	"Aamp"	"Adar"	"Aebp2"	"Atf2"	"Acaa2"	"9530068E07Rik"	"Nipbl"	"Adam17"	"Ahnak"	"	"	"Agfg2"	"4930453N24Rik"	"	"	"	"	"2700097O09Rik"	"Asxl2"	"2510009E07Rik"	"Pafah1b2"	"3425401B19Rik"	"	"	"	"	"Tbc1d2"	"	"	"	"	"Spib"
"Ildr2"	"	"	"Gclm"	"Tnrc6b"	"Anxa5"	"Alg10b"	"Dclre1b"	"	"	"Dusp18"	"Xylt2"	"Akirin2"	"	"	"Atp6v0b"	"Ak4"	"	"	"	"	"Rcc2"	"Taok3"	"Abr"	"	"	"	"	"Ankrd28"	"	"	"Aass"	"Plaur"	"	"	"Eif4g1"	"Aff4"	"Mtor"	"	"	"Abl2"	"Abhd6"	"Abca3"	"Abcc5"	"	"	"Cftr"	"Aarsd1"	"Adcy3"	"Aff1"	"Atp6v1e2"	"Acaca"	"9930021J03Rik"	"Or5w19"	"Adar"	"Akap10"	"	"	"Ago1"	"4930503L19Rik"	"	"	"	"	"2810459M11Rik"	"Atrn"	"2510039O18Rik"	"Pdxk"	"4833420G17Rik"	"	"	"	"	"Tcf7"	"	"	"	"	"Syt12"
"Ing5"	"	"	"Got2"	"Wnt7a"	"Anxa6"	"Alg6"	"Dclre1c"	"	"	"Ecpas"	"Zfp300"	"Akr1d1"	"	"	"Atp6v1a"	"Alas2"	"	"	"	"	"Rccd1"	"Trhr"	"Abraxas2"	"	"	"	"	"Anp32a"	"	"	"Abat"	"Rbm28"	"	"	"Eif4g2"	"Aftph"	"Ndufs6"	"	"	"Abraxas2"	"Abl2"	"Abcb7"	"Abce1"	"	"	"Chd7"	"Aatk"	"Adipor1"	"Aftph"	"Atxn2l"	"Acad11"	"A130010J15Rik"	"Pdlim5"	"Adarb1"	"Akap13"	"	"	"Agpat1"	"4930523C07Rik"	"	"	"	"	"2900026A02Rik"	"Bach2"	"2610008E11Rik"	"Pex13"	"4833439L19Rik"	"	"	"	"	"Tuba4a"	"	"	"	"	"Tmem263"
"Inhba"	"	"	"Gtf2b"	"Zfp300"	"Ap1g1"	"Als2"	"Dctn4"	"	"	"Eif4e3"	"Zfp970"	"Akt3"	"	"	"Atxn3"	"Alcam"	"	"	"	"	"Rdh1"	"Wdr12"	"Acat2"	"	"	"	"	"Aplp1"	"	"	"Abca1"	"Sash1"	"	"	"Flii"	"Agfg1"	"Obsl1"	"	"	"Acaa1b"	"Abra"	"Abcc2"	"Abhd13"	"	"	"Chst15"	"Abca1"	"Adipor2"	"Ago2"	"Aurkb"	"Acadm"	"A1cf"	"Ppia"	"Adcy7"	"Akirin1"	"	"	"Ahnak"	"4931406C07Rik"	"	"	"	"	"4833439L19Rik"	"Banp"	"2610528J11Rik"	"Poglut3"	"4921524J17Rik"	"	"	"	"	"Yipf5"	"	"	"	"	"Ube2j2"
