"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tab3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mtf2"	"	"	"	"	"	"	"	"	"Cyp2c29"	"	"	"	"	"	"	"Reck"	"	"	"	"	"Mob3b"	"Lrig3"	"Cxcl2"	"Gpcpd1"	"	"	"	"	"F7"	"Parp8"	"Sf3b2"	"	"	"Naa30"	"Chsy1"	"	"	"Med13"	"	"	"	"	"	"	"Bnip3l"	"	"	"	"	"Bnip2"	"	"	"Atxn7"	"	"	"Bmp2k"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tacc2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mtpn"	"	"	"	"	"	"	"	"	"Cyp2e1"	"	"	"	"	"	"	"Rel"	"	"	"	"	"Mosmo"	"Lrp4"	"Cxcr4"	"Gpd2"	"	"	"	"	"F9"	"Parpbp"	"Sgk1"	"	"	"Naa38"	"Ciao2a"	"	"	"Med13l"	"	"	"	"	"	"	"Bod1"	"	"	"	"	"Bnip3"	"	"	"Atxn7l1"	"	"	"Bmp4"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Taf1d"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mtrfr"	"	"	"	"	"	"	"	"	"Cyp3a13"	"	"	"	"	"	"	"Relch"	"	"	"	"	"Mpdu1"	"Lrr1"	"Cyb5b"	"Gpihbp1"	"	"	"	"	"Faah"	"Patl1"	"Sh3kbp1"	"	"	"Naa40"	"Ciao2b"	"	"	"Med14"	"	"	"	"	"	"	"Bod1l"	"	"	"	"	"Bnip3l"	"	"	"Atxn7l2"	"	"	"Bmpr1a"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Taf4b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mxd4"	"	"	"	"	"	"	"	"	"Cyp51"	"	"	"	"	"	"	"Rell1"	"	"	"	"	"Mpeg1"	"Lrrc34"	"Cyb5r3"	"Gpr108"	"	"	"	"	"Faap100"	"Pcdh12"	"Sh3rf1"	"	"	"Nampt"	"Cib1"	"	"	"Med17"	"	"	"	"	"	"	"Bop1"	"	"	"	"	"Bod1l"	"	"	"Atxn7l3"	"	"	"Bmpr2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Taok1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mybl1"	"	"	"	"	"	"	"	"	"Cyp7a1"	"	"	"	"	"	"	"Rev3l"	"	"	"	"	"Mprip"	"Lrrc41"	"Cyb5r4"	"Gpr146"	"	"	"	"	"Fabp3"	"Pck2"	"Slc10a1"	"	"	"Nap1l4"	"Cic"	"	"	"Mef2a"	"	"	"	"	"	"	"Bora"	"	"	"	"	"Bola1"	"	"	"Atxn7l3b"	"	"	"Bmt2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Taok3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mybph"	"	"	"	"	"	"	"	"	"Cyp7b1"	"	"	"	"	"	"	"Rfc3"	"	"	"	"	"Mroh1"	"Lrrc47"	"Cybb"	"Gpr157"	"	"	"	"	"Fabp5"	"Pcnx"	"Slc19a2"	"	"	"Nars2"	"Cip2a"	"	"	"Mef2d"	"	"	"	"	"	"	"Bphl"	"	"	"	"	"Bora"	"	"	"Auh"	"	"	"Bmyc"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tardbp"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myc"	"	"	"	"	"	"	"	"	"Cyth1"	"	"	"	"	"	"	"Rfx3"	"	"	"	"	"Mrpl51"	"Lrrc59"	"Cybc1"	"Gprin3"	"	"	"	"	"Fabp7"	"Pdcd4"	"Slc25a1"	"	"	"Nat8f1"	"Cipc"	"	"	"Melk"	"	"	"	"	"	"	"Bpnt2"	"	"	"	"	"Bphl"	"	"	"Aup1"	"	"	"Bnip3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tasor"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mycl"	"	"	"	"	"	"	"	"	"Cyth3"	"	"	"	"	"	"	"Rgs9bp"	"	"	"	"	"Mrtfb"	"Lrrc8a"	"Cyfip1"	"Gpt"	"	"	"	"	"Fads1"	"Pde4b"	"Slc25a13"	"	"	"Nbeal1"	"Cirbp"	"	"	"Memo1"	"	"	"	"	"	"	"Bptf"	"	"	"	"	"Bptf"	"	"	"Aurkaip1"	"	"	"Bnip3l"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tbl1xr1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myh1"	"	"	"	"	"	"	"	"	"Cytip"	"	"	"	"	"	"	"Rhob"	"	"	"	"	"Ms4a15"	"Lrrk1"	"Cyfip2"	"Gramd1b"	"	"	"	"	"Fads2"	"Pde7a"	"Slc25a16"	"	"	"Nceh1"	"Cisd1"	"	"	"Metap2"	"	"	"	"	"	"	"Braf"	"	"	"	"	"Braf"	"	"	"Aurkb"	"	"	"Bod1l"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tcf25"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myh3"	"	"	"	"	"	"	"	"	"D5Ertd579e"	"	"	"	"	"	"	"Rictor"	"	"	"	"	"Msl2"	"Lrrn3"	"Cyld"	"Grik3"	"	"	"	"	"Fads3"	"Pdha1"	"Slc25a20"	"	"	"Nck1"	"Cisd2"	"	"	"Mettl3"	"	"	"	"	"	"	"Brap"	"	"	"	"	"Brca1"	"	"	"Aven"	"	"	"Bola1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tdg"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myh8"	"	"	"	"	"	"	"	"	"Daam1"	"	"	"	"	"	"	"Riok1"	"	"	"	"	"Msl3"	"Lsm3"	"Cyp26a1"	"Gripap1"	"	"	"	"	"Fahd1"	"Pdhb"	"Slc25a26"	"	"	"Nckap1"	"Cish"	"	"	"Mettl8"	"	"	"	"	"	"	"Brca1"	"	"	"	"	"Brca2"	"	"	"Avl9"	"	"	"Bora"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tedc1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myh9"	"	"	"	"	"	"	"	"	"Dab2"	"	"	"	"	"	"	"Rlf"	"	"	"	"	"Msrb3"	"Lsm5"	"Cyp2c23"	"Gse1"	"	"	"	"	"Fahd2a"	"Pdia6"	"Slc26a1"	"	"	"Ncoa2"	"Cit"	"	"	"Mettl9"	"	"	"	"	"	"	"Brcc3"	"	"	"	"	"Brcc3"	"	"	"Axl"	"	"	"Borcs5"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tent5a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mylip"	"	"	"	"	"	"	"	"	"Dab2ip"	"	"	"	"	"	"	"Rlim"	"	"	"	"	"Mst1"	"Lsm6"	"Cyp2c29"	"Gsk3b"	"	"	"	"	"Fam107b"	"Pds5a"	"Slc26a5"	"	"	"Ncoa3"	"Cited2"	"	"	"Mex3c"	"	"	"	"	"	"	"Brd1"	"	"	"	"	"Brd1"	"	"	"Azgp1"	"	"	"Borcs7"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tex2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myo10"	"	"	"	"	"	"	"	"	"Dag1"	"	"	"	"	"	"	"Rmnd5a"	"	"	"	"	"Mt1"	"Lsm8"	"Cyp2c50"	"Gspt1"	"	"	"	"	"Fam111a"	"Penk"	"Slc2a1"	"	"	"Ncoa5"	"Cited4"	"	"	"Mfhas1"	"	"	"	"	"	"	"Brd2"	"	"	"	"	"Brd2"	"	"	"Azi2"	"	"	"Bphl"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tfg"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myo18a"	"	"	"	"	"	"	"	"	"Dapk1"	"	"	"	"	"	"	"Rnf103"	"	"	"	"	"Mtdh"	"Lss"	"Cyp2c70"	"Gstm6"	"	"	"	"	"Fam114a1"	"Pfkfb3"	"Slc35a1"	"	"	"Ncoa6"	"Ckap5"	"	"	"Mfsd6"	"	"	"	"	"	"	"Brd3"	"	"	"	"	"Brd3"	"	"	"Azin1"	"	"	"Bpnt2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tgfbr1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myo1e"	"	"	"	"	"	"	"	"	"Dars2"	"	"	"	"	"	"	"Rnf14"	"	"	"	"	"Mthfd1"	"Ltc4s"	"Cyp2f2"	"Gstz1"	"	"	"	"	"Fam131a"	"Pfkl"	"Slc35b3"	"	"	"Ndrg2"	"Cks1b"	"	"	"Mgat2"	"	"	"	"	"	"	"Brd4"	"	"	"	"	"Brd4"	"	"	"B230219D22Rik"	"	"	"Bptf"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tgfbr2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myod1"	"	"	"	"	"	"	"	"	"Dazap2"	"	"	"	"	"	"	"Rnf145"	"	"	"	"	"Mtmr12"	"Ly6g6d"	"Cyp2j5"	"Gtf3c1"	"	"	"	"	"Fam162a"	"Pfkp"	"Slc35g1"	"	"	"Ndrg3"	"Clasp1"	"	"	"Mgat4a"	"	"	"	"	"	"	"Brd7"	"	"	"	"	"Brd8"	"	"	"B230307C23Rik"	"	"	"Brca1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tgif1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myom1"	"	"	"	"	"	"	"	"	"Dbf4"	"	"	"	"	"	"	"Rnf169"	"	"	"	"	"Mtmr4"	"Ly96"	"Cyp3a13"	"Gtf3c4"	"	"	"	"	"Fam167b"	"Pgap2"	"Slc39a10"	"	"	"Ndufaf4"	"Clasp2"	"	"	"Mia3"	"	"	"	"	"	"	"Brd8"	"	"	"	"	"Brf1"	"	"	"B2m"	"	"	"Brca2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tgs1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Myom2"	"	"	"	"	"	"	"	"	"Dbp"	"	"	"	"	"	"	"Rnf220"	"	"	"	"	"Mtrex"	"Lyn"	"Cyp4a31"	"Gxylt2"	"	"	"	"	"Fam174a"	"Pgd"	"Slc4a7"	"	"	"Ndufs8"	"Clcc1"	"	"	"Mib1"	"	"	"	"	"	"	"Brdt"	"	"	"	"	"Bri3bp"	"	"	"B3galnt1"	"	"	"Brcc3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Thoc2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Mzt1"	"	"	"	"	"	"	"	"	"Dbr1"	"	"	"	"	"	"	"Rnf38"	"	"	"	"	"Mup3"	"Lysmd3"	"Cyp51"	"H2-T23"	"	"	"	"	"Fam185a"	"Pglyrp2"	"Slc6a6"	"	"	"Nedd4"	"Clcf1"	"	"	"Mid1ip1"	"	"	"	"	"	"	"Brf1"	"	"	"	"	"Brinp1"	"	"	"B3galnt2"	"	"	"Brd1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tiparp"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"N4bp2"	"	"	"	"	"	"	"	"	"Dbt"	"	"	"	"	"	"	"Rnft1"	"	"	"	"	"Myadm"	"Lyst"	"Cyria"	"H2bc18"	"	"	"	"	"Fam199x"	"Phc3"	"Slco4a1"	"	"	"Nedd4l"	"Clcn3"	"	"	"Midn"	"	"	"	"	"	"	"Bri3"	"	"	"	"	"Brip1"	"	"	"B3galt1"	"	"	"Brd2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tlr12"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Naa15"	"	"	"	"	"	"	"	"	"Dcaf1"	"	"	"	"	"	"	"Rock2"	"	"	"	"	"Mycbp2"	"M6pr"	"Cyrib"	"Hal"	"	"	"	"	"Fam20c"	"Phf12"	"Slk"	"	"	"Nek7"	"Clcn5"	"	"	"Mif4gd"	"	"	"	"	"	"	"Bri3bp"	"	"	"	"	"Brix1"	"	"	"B3galt2"	"	"	"Brd3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tm2d2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Naa25"	"	"	"	"	"	"	"	"	"Dcaf10"	"	"	"	"	"	"	"Rora"	"	"	"	"	"Myh9"	"Macf1"	"Cystm1"	"Hars2"	"	"	"	"	"Fam210b"	"Phf2"	"Slmap"	"	"	"Net1"	"Clcn6"	"	"	"Miga1"	"	"	"	"	"	"	"Brip1"	"	"	"	"	"Brk1"	"	"	"B3galt4"	"	"	"Brd4"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tm9sf1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Naa30"	"	"	"	"	"	"	"	"	"Dcaf12"	"	"	"	"	"	"	"Rp2"	"	"	"	"	"Myl12a"	"Madd"	"Cyth2"	"Haus6"	"	"	"	"	"Fam216a"	"Phf6"	"Sltm"	"	"	"Nfat5"	"Cldnd1"	"	"	"Mindy2"	"	"	"	"	"	"	"Brix1"	"	"	"	"	"Brms1l"	"	"	"B3gat3"	"	"	"Brd7"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tm9sf2"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Naa50"	"	"	"	"	"	"	"	"	"Dcaf13"	"	"	"	"	"	"	"Rpe"	"	"	"	"	"Myl12b"	"Magee2"	"Cyth3"	"Hbp1"	"	"	"	"	"Fam219a"	"Phf8"	"Smad7"	"	"	"Nfatc3"	"Clec12a"	"	"	"Mindy3"	"	"	"	"	"	"	"Brk1"	"	"	"	"	"Brox"	"	"	"B3gntl1"	"	"	"Brd8"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tm9sf3"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Naa60"	"	"	"	"	"	"	"	"	"Dcaf6"	"	"	"	"	"	"	"Rpl4"	"	"	"	"	"Myo10"	"Magoh"	"D030056L22Rik"	"Hc"	"	"	"	"	"Fam219b"	"Phip"	"Smarcad1"	"	"	"Nfe2l2"	"Clic4"	"	"	"Mki67"	"	"	"	"	"	"	"Brms1l"	"	"	"	"	"Brwd1"	"	"	"B430306N03Rik"	"	"	"Bri3bp"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem115"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Nacc1"	"	"	"	"	"	"	"	"	"Dcaf8"	"	"	"	"	"	"	"Rpn2"	"	"	"	"	"Myo5b"	"Man1b1"	"DLL4"	"Hcfc1"	"	"	"	"	"Fam234a"	"Phyhd1"	"Smarcd2"	"	"	"Nfia"	"Clic5"	"	"	"Mkln1"	"	"	"	"	"	"	"Brox"	"	"	"	"	"Brwd3"	"	"	"B4galnt1"	"	"	"Brinp1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem150a"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Nadk2"	"	"	"	"	"	"	"	"	"Dcbld2"	"	"	"	"	"	"	"Rpp40"	"	"	"	"	"Myo9b"	"Man1c1"	"Daam1"	"Hcfc2"	"	"	"	"	"Fam241a"	"Pi4kb"	"Smc5"	"	"	"Nfib"	"Clint1"	"	"	"Mknk2"	"	"	"	"	"	"	"Brpf1"	"	"	"	"	"Bscl2"	"	"	"B4galt1"	"	"	"Brip1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem161b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Nap1l4"	"	"	"	"	"	"	"	"	"Dchs1"	"	"	"	"	"	"	"Rprd2"	"	"	"	"	"N6amt1"	"Map2k7"	"Dab1"	"Hdlbp"	"	"	"	"	"Fam32a"	"Pias1"	"Smurf2"	"	"	"Nfs1"	"Clip1"	"	"	"Mkrn1"	"	"	"	"	"	"	"Brwd1"	"	"	"	"	"Bsg"	"	"	"B4galt3"	"	"	"Brix1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem177"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Natd1"	"	"	"	"	"	"	"	"	"Dclre1b"	"	"	"	"	"	"	"Rps3"	"	"	"	"	"Naa15"	"Map3k1"	"Dact1"	"Heatr1"	"	"	"	"	"Fam78a"	"Pias2"	"Snrnp200"	"	"	"Nid1"	"Clip3"	"	"	"Mlec"	"	"	"	"	"	"	"Brwd3"	"	"	"	"	"Bsn"	"	"	"B4galt5"	"	"	"Brms1l"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem19"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Nav1"	"	"	"	"	"	"	"	"	"Dcp1a"	"	"	"	"	"	"	"Rps6ka3"	"	"	"	"	"Naa25"	"Map3k11"	"Dag1"	"Heca"	"	"	"	"	"Fance"	"Picalm"	"Snrpe"	"	"	"Nipa2"	"Cln5"	"	"	"Mllt10"	"	"	"	"	"	"	"Bscl2"	"	"	"	"	"Btaf1"	"	"	"B4galt6"	"	"	"Brpf1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem214"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Nav2"	"	"	"	"	"	"	"	"	"Dcp2"	"	"	"	"	"	"	"Rpsa"	"	"	"	"	"Naa50"	"Map4"	"Daglb"	"Hectd1"	"	"	"	"	"Far1"	"Piezo1"	"Snx13"	"	"	"Nkap"	"Cln6"	"	"	"Mllt3"	"	"	"	"	"	"	"Bsdc1"	"	"	"	"	"Btbd10"	"	"	"B4galt7"	"	"	"Brwd1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem245"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Nbeal1"	"	"	"	"	"	"	"	"	"Dctn2"	"	"	"	"	"	"	"Rras"	"	"	"	"	"Naip5"	"Mapk1"	"Dap"	"Hectd2"	"	"	"	"	"Fars2"	"Pigr"	"Snx17"	"	"	"Nkd1"	"Clns1a"	"	"	"Mllt6"	"	"	"	"	"	"	"Bsg"	"	"	"	"	"Btbd19"	"	"	"B4gat1"	"	"	"Brwd3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem254"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Nbeal2"	"	"	"	"	"	"	"	"	"Dctn3"	"	"	"	"	"	"	"Rreb1"	"	"	"	"	"Nbeal2"	"Mapk8"	"Dapk1"	"Hectd4"	"	"	"	"	"Fasn"	"Pigt"	"Snx18"	"	"	"Nln"	"Clock"	"	"	"Mmgt1"	"	"	"	"	"	"	"Bst2"	"	"	"	"	"Btbd3"	"	"	"B9d1"	"	"	"Bscl2"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem38b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Nbr1"	"	"	"	"	"	"	"	"	"Dctn4"	"	"	"	"	"	"	"Rrm1"	"	"	"	"	"Ncapg2"	"Mapt"	"Daxx"	"Heg1"	"	"	"	"	"Fau"	"Pik3ap1"	"Snx2"	"	"	"Nlrc5"	"Clp1"	"	"	"Mmp9"	"	"	"	"	"	"	"Btaf1"	"	"	"	"	"Btbd7"	"	"	"B9d2"	"	"	"Bsg"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem59"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ncan"	"	"	"	"	"	"	"	"	"Dctn5"	"	"	"	"	"	"	"Rrm2"	"	"	"	"	"Ncbp1"	"Marcks"	"Dbt"	"Herc1"	"	"	"	"	"Fbh1"	"Pik3ip1"	"Snx27"	"	"	"Nlrp12"	"Clpb"	"	"	"Mms22l"	"	"	"	"	"	"	"Btbd10"	"	"	"	"	"Btbd8"	"	"	"BC004004"	"	"	"Bsn"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem60"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ncoa1"	"	"	"	"	"	"	"	"	"Dctn6"	"	"	"	"	"	"	"Rrp1"	"	"	"	"	"Ncdn"	"Mars2"	"Dcaf12"	"Herc2"	"	"	"	"	"Fblim1"	"Pin1"	"Snx3"	"	"	"Nol6"	"Clptm1"	"	"	"Mnt"	"	"	"	"	"	"	"Btbd3"	"	"	"	"	"Btbd9"	"	"	"BC005537"	"	"	"Btaf1"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem64"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ncoa2"	"	"	"	"	"	"	"	"	"Dcun1d1"	"	"	"	"	"	"	"Rsbn1"	"	"	"	"	"Nckap1"	"Marveld1"	"Dcaf15"	"Herc3"	"	"	"	"	"Fbp1"	"Pip4p1"	"Snx32"	"	"	"Notch1"	"Clptm1l"	"	"	"Mob1a"	"	"	"	"	"	"	"Btbd7"	"	"	"	"	"Btf3"	"	"	"BC034090"	"	"	"Btbd10"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmem87b"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ndel1"	"	"	"	"	"	"	"	"	"Dcun1d3"	"	"	"	"	"	"	"Rsbn1l"	"	"	"	"	"Nckap1l"	"Masp2"	"Dcaf17"	"Hgfac"	"	"	"	"	"Fbxl5"	"Pitpna"	"Soat1"	"	"	"Nr2c1"	"Clspn"	"	"	"Mob1b"	"	"	"	"	"	"	"Btbd8"	"	"	"	"	"Btf3l4"	"	"	"Babam2"	"	"	"Btbd19"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tmf1"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ndfip1"	"	"	"	"	"	"	"	"	"Dcun1d4"	"	"	"	"	"	"	"Rsf1"	"	"	"	"	"Ncoa2"	"Mat1a"	"Dcaf7"	"Hgsnat"	"	"	"	"	"Fbxo21"	"Pitpnc1"	"Socs4"	"	"	"Nr2c2ap"	"Clta"	"	"	"Mob3a"	"	"	"	"	"	"	"Btg1"	"	"	"	"	"Btg1"	"	"	"Bace1"	"	"	"Btbd3"	"	"	"	"	"	"	"	"	"	"	"	"
"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Tnfsf11"	"	"	"	"	"	"	"	"	"	"	"	"	"	"	"Ndfip2"	"	"	"	"	"	"	"	"	"Dcun1d5"	"	"	"	"	"	"	"Rsl1d1"	"	"	"	"	"Ncoa3"	"Mat2a"	"Dcbld1"	"Hhex"	"	"	"	"	"Fbxo31"	"Pkd1"	"Sos1"	"	"	"Nr5a2"	"Cltb"	"	"	"Mon2"	"	"	"	"	"	"	"Btg2"	"	"	"	"	"Btg2"	"	"	"Bace2"	"	"	"Btbd7"	"	"	"	"	"	"	"	"	"	"	"	"
