"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"Dlgap1"	"	"	"	"	"Ccnc"	"Nfia"	"Oaz2"	"Traf1"	"	"	"Gprc5a"	"Dennd4b"	"Kat2b"	"	"	"	"	"Atg13"	"	"	"Dmd"	"Gpm6a"	"Gm15097"	"Opa1"	"	"	"	"	"Bcl2l13"	"	"	"Map4k4"	"Cd200"	"	"	"	"	"Fign"	"	"	"Cdk14"	"Csgalnact2"	"Baz2a"	"B3galt6"	"Cmtm6"	"	"	"BC005764"	"	"	"Atp13a1"	"Cadm2"	"Cecr2"	"Ghrh"	"B630005N14Rik"	"	"	"Dyrk2"	"Clock"	"Mga"	"	"	"Arl6ip6"	"	"	"	"	"Arsi"	"Dclre1b"	"Atg16l1"	"Ifnar1"	"Arpp19"	"Myadm"	"Dlgap1"	"Arl8a"	"	"	"Ccnd2"	"Cers1"
"Dnajb14"	"	"	"	"	"Ccng1"	"Nol7"	"Oxr1"	"Ttyh2"	"	"	"Grlf1"	"Dkk3"	"Kat7"	"	"	"	"	"Atg2b"	"	"	"Dnajc16"	"Gpx3"	"Gm15107"	"Ormdl1"	"	"	"	"	"Bcl6"	"	"	"Mapk4"	"Cd2ap"	"	"	"	"	"Fmr1"	"	"	"Cds2"	"Csnk2a1"	"Bbc3"	"B3gat1"	"Cnep1r1"	"	"	"BC037034"	"	"	"Atp2b4"	"Calb1"	"Celf6"	"Gm11541"	"BC021891"	"	"	"E130311K13Rik"	"Clstn2"	"Mlana"	"	"	"Armc1"	"	"	"	"	"Arv1"	"Dcp1a"	"Atg4b"	"Ifnk"	"Arrdc4"	"Myrip"	"Dmd"	"Armcx3"	"	"	"Ccnj"	"Cflar"
"Dnalc1"	"	"	"	"	"Ccnh"	"Npas3"	"Pax6"	"Vwa3b"	"	"	"Gse1"	"Dlg4"	"Kdm6a"	"	"	"	"	"Atg4b"	"	"	"Dnajc28"	"Gria1"	"Gm15114"	"Osbpl1a"	"	"	"	"	"Bdnf"	"	"	"Mbtd1"	"Cd38"	"	"	"	"	"Foxf2"	"	"	"Cdv3"	"Cth"	"Bcas1"	"B3gnt5"	"Cnn1"	"	"	"Bag4"	"	"	"Atp6v0a1"	"Calm2"	"Celsr3"	"Gm13102"	"BC030336"	"	"	"E330014E10Rik"	"Cluh"	"Mr1"	"	"	"Armcx2"	"	"	"	"	"Asap1"	"Dhfr"	"Atp10b"	"Igf1"	"Arv1"	"Nacc2"	"Dnajc18"	"Arnt2"	"	"	"Ccnl2"	"Chd3"
"Dpf2"	"	"	"	"	"Ccp110"	"Nr6a1"	"Pfn2"	"Wnt11"	"	"	"Hapln1"	"Dmrtc1a"	"Kif5b"	"	"	"	"	"Atg9a"	"	"	"Dnajc5"	"Gtf2h1"	"Gm15127"	"Papd5"	"	"	"	"	"Bgn"	"	"	"Mdm4"	"Cd82"	"	"	"	"	"Foxj3"	"	"	"Ceacam1"	"Cttnbp2nl"	"Bcl2l13"	"B4galt1"	"Cnot4"	"	"	"Bak1"	"	"	"Atp6v1f"	"Camk2a"	"Cep170"	"Gm14548"	"BC037034"	"	"	"Edar"	"Cnih3"	"Mrgprx2"	"	"	"Arpp19"	"	"	"	"	"Asb8"	"Dip2c"	"Atp1a3"	"Igf1r"	"Asah2"	"Nav2"	"Dnase2a"	"Asap2"	"	"	"Ccnt2"	"Chd6"
"Dph3"	"	"	"	"	"Ccr2"	"Nrep"	"Pgm1"	"Yrdc"	"	"	"Hdlbp"	"Dmrtc1c1"	"Klf13"	"	"	"	"	"Atp5o"	"	"	"Dnalc1"	"H3f3b"	"Gm16513"	"Patl1"	"	"	"	"	"Bmpr1a"	"	"	"Meis3"	"Cd9"	"	"	"	"	"Frmd3"	"	"	"Ceacam2"	"Ctxn3"	"Bcl2l2"	"B4galt6"	"Cnot6"	"	"	"Banp"	"	"	"Atxn1l"	"Camk2b"	"Cep19"	"Gm5591"	"Bach1"	"	"	"Ehhadh"	"Cntfr"	"Mrpl17"	"	"	"Arpp21"	"	"	"	"	"Ash1l"	"Dnajc27"	"Atp2a2"	"Igsf3"	"Asap1"	"Ndrg4"	"Dnmt3l"	"Asb1"	"	"	"Ccnyl1"	"Chka"
"Dpp4"	"	"	"	"	"Ccser1"	"Ntm"	"Phex"	"Zdhhc14"	"	"	"Hif1a"	"Dmrtc1c2"	"Klk10"	"	"	"	"	"Atp6v1a"	"	"	"Dnm3"	"Hdhd2"	"Gm20747"	"Pdcl3"	"	"	"	"	"Bnc2"	"	"	"Mex3a"	"Cdc42ep3"	"	"	"	"	"Furin"	"	"	"Cebpg"	"Cul5"	"Bdh1"	"B630005N14Rik"	"Cntn4"	"	"	"Bap1"	"	"	"Atxn7"	"Camk2n1"	"Chd5"	"Got2"	"Bach2"	"	"	"Eid1"	"Col12a1"	"Mtdh"	"	"	"Asb12"	"	"	"	"	"Asic1"	"Dnalc1"	"Atp2b4"	"Inpp5k"	"Asb8"	"Ndufaf5"	"Doc2b"	"Ascl1"	"	"	"Ccser2"	"Cinp"
"E2f4"	"	"	"	"	"Ccser2"	"Onecut2"	"Phf12"	"Zfp41"	"	"	"Hipk2"	"Dmxl1"	"Klrc2"	"	"	"	"	"Atp6v1e1"	"	"	"Dpp6"	"Herc4"	"Gm20806"	"Pgbd1"	"	"	"	"	"Bnipl"	"	"	"Mfsd6"	"Cdh8"	"	"	"	"	"Gcfc2"	"	"	"Celf2"	"Cxcr3"	"Bdnf"	"BC021891"	"Col2a1"	"	"	"Barhl1"	"	"	"Atxn7l3"	"Camkmt"	"Chl1"	"Greb1l"	"Bahd1"	"	"	"Eif1ax"	"Col17a1"	"Mtmr1"	"	"	"Ascl2"	"	"	"	"	"Asnsd1"	"Dpp10"	"Atp6v1b2"	"Itsn1"	"Asic1"	"Nfic"	"Dock3"	"Asgr2"	"	"	"Cd276"	"Cldn3"
"E2f5"	"	"	"	"	"Cd36"	"Pcf11"	"Phf15"	"Zfp574"	"	"	"Hist1h3d"	"Dnajb9"	"Lats1"	"	"	"	"	"Atxn1l"	"	"	"Dpysl2"	"Hey1"	"Gm20809"	"Pgm3"	"	"	"	"	"Brd4"	"	"	"Mitf"	"Cdk17"	"	"	"	"	"Gigyf1"	"	"	"Cep120"	"Cxxc4"	"Bet1"	"BC030336"	"Col4a1"	"	"	"Baz2a"	"	"	"Axl"	"Camta1"	"Chmp1a"	"Grhl2"	"Baz1a"	"	"	"Eif1b"	"Cops7b"	"Mup11"	"	"	"Asph"	"	"	"	"	"Asph"	"Dsc2"	"Atp8b4"	"Iws1"	"Asnsd1"	"Nfix"	"Dpp6"	"Asic1"	"	"	"Cd38"	"Cldn5"
"Ebf3"	"	"	"	"	"Cdc14a"	"Pcna"	"Phxr4"	"Zfp60"	"	"	"Hist1h3f"	"Dnajc30"	"Lcorl"	"	"	"	"	"Atxn3"	"	"	"Ebna1bp2"	"Hmgcs1"	"Gm20815"	"Pot1a"	"	"	"	"	"Brk1"	"	"	"Mll1"	"Cdkl2"	"	"	"	"	"Glod4"	"	"	"Cep85"	"Cyb5r4"	"Bhlha15"	"BC037034"	"Cox5b"	"	"	"Bbc3"	"	"	"B3gat1"	"Caps2"	"Chn2"	"Gria3"	"Baz2b"	"	"	"Eif4a2"	"Cp"	"Myh10"	"	"	"Aspn"	"	"	"	"	"Atad2b"	"Dsg1a"	"Atpaf1"	"Josd1"	"Asph"	"Nol4"	"Dsg3"	"Ass1"	"	"	"Cd59a"	"Clec14a"
"Edem3"	"	"	"	"	"Cdh12"	"Pde7a"	"Pias1"	"	"	"	"	"Hist2h4"	"Dnajc4"	"Ldlrad3"	"	"	"	"	"Atxn7l1"	"	"	"Edem3"	"Hmgn1"	"Gm20816"	"Ppm1k"	"	"	"	"	"Brpf3"	"	"	"Mllt3"	"Cdkn1b"	"	"	"	"	"Gls"	"	"	"Cers6"	"Cyp2j13"	"Bhmt"	"Bach1"	"Cpd"	"	"	"Bbs1"	"	"	"B3gat3"	"Capza1"	"Chp1"	"Gyg"	"Bbx"	"	"	"Elavl4"	"Cpne3"	"Nf1"	"	"	"Asxl1"	"	"	"	"	"Atg14"	"Dsg1b"	"Atxn7l3"	"Kcnc1"	"Atad3a"	"Notch2"	"Dstyk"	"Asxl2"	"	"	"Cd8b1"	"Clec4a1"
"Eea1"	"	"	"	"	"Cdhr1"	"Phactr1"	"Pik3r3"	"	"	"	"	"Hlf"	"Dock5"	"Lifr"	"	"	"	"	"B230206H07Rik"	"	"	"Ednra"	"Hmgn2"	"Gm20823"	"Prf1"	"	"	"	"	"Btbd11"	"	"	"Mlst8"	"Cds2"	"	"	"	"	"Gm15085"	"	"	"Ces2g"	"Cyp4a14"	"Bhmt2"	"Bach2"	"Creb3l2"	"	"	"Bcas1"	"	"	"B4galt2"	"Capza2"	"Chpt1"	"Hbegf"	"Bcl2"	"	"	"Elf1"	"Crb2"	"Nfia"	"	"	"Atad2"	"	"	"	"	"Atg16l1"	"Dusp3"	"Atxn7l3b"	"Kcnj2"	"Atg16l1"	"Npsr1"	"Dtx4"	"Atad1"	"	"	"Cd99l2"	"Clptm1"
"Eif4e"	"	"	"	"	"Cdk19"	"Phip"	"Plag1"	"	"	"	"	"Hmcn1"	"Dock9"	"Llgl2"	"	"	"	"	"B3gat1"	"	"	"Ehmt1"	"Hnrnpa3"	"Gm20854"	"Prkra"	"	"	"	"	"Btg2"	"	"	"Mlxip"	"Cdyl2"	"	"	"	"	"Gm15093"	"	"	"Ces4a"	"Cyth3"	"Bloc1s5"	"Bahd1"	"Cs"	"	"	"Bcl2l13"	"	"	"BC004004"	"Cask"	"Chrna2"	"Heatr5a"	"Bcl2l11"	"	"	"Elmsan1"	"Crebrf"	"Nfib"	"	"	"Atad2b"	"	"	"	"	"Atg4b"	"E2f6"	"Aven"	"Kif26a"	"Atg4b"	"Nudt15"	"Dus1l"	"Atf2"	"	"	"Cdc34"	"Cnr1"
"Eif5"	"	"	"	"	"Ceacam19"	"Pi4k2a"	"Plekha3"	"	"	"	"	"Hoxd12"	"Dpp10"	"Lrrc1"	"	"	"	"	"B3gat2"	"	"	"Eif4b"	"Hoxd10"	"Gm20867"	"Prtg"	"	"	"	"	"Btn1a1"	"	"	"Mrps25"	"Cecr2"	"	"	"	"	"Gm16432"	"	"	"Chml"	"D1Ertd622e"	"Blzf1"	"Baz1a"	"Csf1"	"	"	"Bcl2l2"	"	"	"BC018242"	"Casp12"	"Chrna9"	"Hectd2"	"Bcl6"	"	"	"Elovl7"	"Crebzf"	"Nkap"	"	"	"Atf2"	"	"	"	"	"Atp10b"	"Echdc3"	"Awat2"	"Kit"	"Atp10b"	"Otub1"	"Dusp1"	"Atg16l1"	"	"	"Cdc42"	"Col25a1"
"Elavl2"	"	"	"	"	"Celf1"	"Picalm"	"Plk3"	"	"	"	"	"Hspa12a"	"Dpy30"	"Lrrc57"	"	"	"	"	"BC004004"	"	"	"Elk1"	"Hp1bp3"	"Gm20909"	"Pten"	"	"	"	"	"Bud31"	"	"	"Mtdh"	"Celf2"	"	"	"	"	"Gm21967"	"	"	"Chmp4b"	"D230025D16Rik"	"Bmf"	"Baz2b"	"Csnk2a1"	"	"	"Bdh1"	"	"	"BC021785"	"Casp7"	"Chrnb2"	"Hhip"	"Bcor"	"	"	"Emc1"	"Crk"	"Nme8"	"	"	"Atl3"	"	"	"	"	"Atp1a3"	"Efcab14"	"B3galt1"	"Klf15"	"Atp1a3"	"Pard3"	"Edem3"	"Atg2b"	"	"	"Cdh12"	"Col28a1"
"Elavl4"	"	"	"	"	"Celf2"	"Pkp4"	"Pmm1"	"	"	"	"	"Hspa5"	"Dsc2"	"Lrrc59"	"	"	"	"	"BC021785"	"	"	"Elof1"	"Hspa2"	"Gm21085"	"Ptpn4"	"	"	"	"	"Bzw2"	"	"	"Mtus2"	"Cenpk"	"	"	"	"	"Gmnc"	"	"	"Chp1"	"D5Ertd579e"	"Brip1"	"Bbx"	"Cspg4"	"	"	"Bdnf"	"	"	"Baalc"	"Cast"	"Chtf8"	"Hibadh"	"Bdnf"	"	"	"Eml6"	"Csn2"	"Nudt11"	"	"	"Atp10a"	"	"	"	"	"Atp2a2"	"Elavl1"	"B3galt4"	"Klf17"	"Atp2a2"	"Parp11"	"Edn3"	"Atg7"	"	"	"Cdkl2"	"Col5a2"
"Elovl6"	"	"	"	"	"Celf6"	"Ppargc1a"	"Ppfia2"	"	"	"	"	"Idh1"	"Dscaml1"	"Lsm14b"	"	"	"	"	"BC021891"	"	"	"Endod1"	"Ift80"	"Gm21943"	"Ptprh"	"	"	"	"	"C1ql3"	"	"	"Naa15"	"Cenpw"	"	"	"	"	"Golga2"	"	"	"Chrm1"	"Dcp1a"	"Brms1"	"Bcl11b"	"Cth"	"	"	"Bet1"	"	"	"Baz2a"	"Cav2"	"Clec2d"	"Hist1h3e"	"Bdp1"	"	"	"Ep300"	"Csnk1a1"	"Olfm3"	"	"	"Atp11c"	"	"	"	"	"Atp2a3"	"Elmod3"	"B3galt5"	"Krt1"	"Atp2a3"	"Pax9"	"Eef1g"	"Atic"	"	"	"Celf2"	"Col8a1"
"Eltd1"	"	"	"	"	"Cep97"	"Ppm1e"	"Ppp5c"	"	"	"	"	"Il2ra"	"Dsg1a"	"Man1a2"	"	"	"	"	"Baalc"	"	"	"Epb4.1l3"	"Impad1"	"Gm2564"	"Purg"	"	"	"	"	"C1qtnf7"	"	"	"Naa30"	"Cep112"	"	"	"	"	"Gpc5"	"	"	"Chrnb3"	"Dcp2"	"Brpf1"	"Bcl2"	"Cttnbp2nl"	"	"	"Bhlha15"	"	"	"Bche"	"Cblb"	"Clec2g"	"Hist1h4b"	"Bean1"	"	"	"Epb4.1l2"	"Csrnp2"	"Osgepl1"	"	"	"Atp1a2"	"	"	"	"	"Atp2b4"	"Endod1"	"B3gat1"	"Krt75"	"Atp2b4"	"Pcid2"	"Efcab2"	"Atmin"	"	"	"Celf6"	"Comtd1"
"Emx2"	"	"	"	"	"Cfl2"	"Ppp1r1c"	"Prdm1"	"	"	"	"	"Ino80d"	"Dsg1b"	"Map3k11"	"	"	"	"	"Bace1"	"	"	"Erc1"	"Inadl"	"Gnas"	"Rap2a"	"	"	"	"	"C230081A13Rik"	"	"	"Nab1"	"Cep290"	"	"	"	"	"Gpr34"	"	"	"Ciapin1"	"Dcun1d3"	"Brsk1"	"Bcl2l11"	"Ctxn3"	"	"	"Bhmt"	"	"	"Bcl11b"	"Cbx5"	"Clmp"	"Hmgb1"	"Becn1"	"	"	"Epn2"	"Ctdspl2"	"Ost4"	"	"	"Atp2c1"	"	"	"	"	"Atp6v1b2"	"Epb4.1l1"	"B3gat3"	"Lamc2"	"Atp6v0a1"	"Pde4b"	"Eif4g1"	"Atn1"	"	"	"Cenpt"	"Cops6"
"En2"	"	"	"	"	"Chd9"	"Ppp4r1"	"Prkar2a"	"	"	"	"	"Ipo8"	"Dus2l"	"Map3k6"	"	"	"	"	"Bahcc1"	"	"	"Erc2"	"Ino80d"	"Gng4"	"Rb1cc1"	"	"	"	"	"Cacna1e"	"	"	"Ncf1"	"Cep97"	"	"	"	"	"Hbp1"	"	"	"Cish"	"Ddit3"	"Brwd1"	"Bcl6"	"Cul5"	"	"	"Bhmt2"	"	"	"Bcl2"	"Ccdc122"	"Clock"	"Hnf1b"	"Bmp2k"	"	"	"Erbb2ip"	"Ctnna3"	"Oxld1"	"	"	"Atp6v0e"	"	"	"	"	"Atp8b4"	"Erh"	"B3gnt1"	"Lamp2"	"Atp6v1b2"	"Pdgfb"	"Ell"	"Atp1a3"	"	"	"Cep68"	"Creb3l3"
"Enah"	"	"	"	"	"Chic1"	"Pramel3"	"Prom1"	"	"	"	"	"Ipo9"	"Dusp10"	"Marcks"	"	"	"	"	"Bahd1"	"	"	"Ermp1"	"Inpp4a"	"Gng5"	"Rbx1"	"	"	"	"	"Cacna2d2"	"	"	"Nfia"	"Chac2"	"	"	"	"	"Hic2"	"	"	"Cldn10"	"Ddx6"	"Bsn"	"Bcor"	"Cxcr3"	"	"	"Bloc1s5"	"	"	"Bcl2l13"	"Ccdc71l"	"Cnnm4"	"Hnrnpa0"	"Bnc1"	"	"	"Exoc5"	"Ctnnd2"	"Paip1"	"	"	"Atpaf1"	"	"	"	"	"Atpaf1"	"Erlin1"	"B3gnt7"	"Lcorl"	"Atp8b4"	"Phf15"	"Emx1"	"Atp1b2"	"	"	"Chd5"	"Csgalnact1"
"Erbb2ip"	"	"	"	"	"Ckap4"	"Prkaa1"	"Prpf40a"	"	"	"	"	"Ispd"	"Dynlt3"	"Mark3"	"	"	"	"	"Bambi"	"	"	"F7"	"Ipo11"	"Golim4"	"Rc3h2"	"	"	"	"	"Cacnb3"	"	"	"Nipal4"	"Chd1"	"	"	"	"	"Hif1an"	"	"	"Clec14a"	"Dedd"	"Btg2"	"Bdnf"	"Cxxc4"	"	"	"Blzf1"	"	"	"Bcl6"	"Ccdc88a"	"Cntln"	"Hook3"	"Bnc2"	"	"	"F5"	"Ctss"	"Pcdh10"	"	"	"Atrx"	"	"	"	"	"Atrn"	"Esyt3"	"B930041F14Rik"	"Lhx8"	"Atpaf1"	"Phf21a"	"Engase"	"Atp2a3"	"	"	"Chfr"	"Csnk2a2"
"Esrrg"	"	"	"	"	"Clcn5"	"Ptprr"	"Pten"	"	"	"	"	"Itga8"	"E2f3"	"Mastl"	"	"	"	"	"Bard1"	"	"	"Fam136a"	"Itga2b"	"Gpr137"	"Rem1"	"	"	"	"	"Cacng2"	"	"	"Nkap"	"Chic1"	"	"	"	"	"Hipk3"	"	"	"Clip3"	"Defb41"	"C130026L21Rik"	"Bdp1"	"Cyb5r4"	"	"	"Bmf"	"	"	"Bdnf"	"Ccl9"	"Cntnap2"	"Hs3st2"	"Bnip3l"	"	"	"Fam114a2"	"Cul1"	"Pde1a"	"	"	"Atxn7"	"	"	"	"	"Atxn1l"	"Faxc"	"BC030336"	"Limch1"	"Atxn1l"	"Phyhipl"	"Epb4.1l1"	"Atp6v0a1"	"	"	"Chic2"	"Cst13"
"Exoc2"	"	"	"	"	"Cldn11"	"Rab10"	"Pyurf"	"	"	"	"	"Itk"	"Edem1"	"Mbd6"	"	"	"	"	"Baz1b"	"	"	"Fam160b1"	"Jhdm1d"	"Gpr155"	"Rhpn2"	"	"	"	"	"Calca"	"	"	"Nol11"	"Chn2"	"	"	"	"	"Hist1h3f"	"	"	"Clmn"	"Dennd4c"	"C1qtnf1"	"Bean1"	"Cyp2j13"	"	"	"Brip1"	"	"	"Bgn"	"Ccnd2"	"Col5a1"	"Hsf3"	"Bpifc"	"	"	"Fam120a"	"Cxxc4"	"Pde4b"	"	"	"Azgp1"	"	"	"	"	"Atxn3"	"Fbxl3"	"BC052040"	"Lin52"	"Atxn7l3"	"Pigv"	"Ergic3"	"Atp6v0e2"	"	"	"Chrm1"	"Ctsb"
"Fam13a"	"	"	"	"	"Cnih4"	"Rab3gap2"	"Rab1b"	"	"	"	"	"Kansl1"	"Efr3a"	"Mc4r"	"	"	"	"	"Bcl11b"	"	"	"Fam163a"	"Kat6b"	"Gsta3"	"Rnf165"	"	"	"	"	"Calcb"	"	"	"Npy"	"Cinp"	"	"	"	"	"Hivep2"	"	"	"Cln8"	"Dgcr8"	"C230081A13Rik"	"Becn1"	"Cyp4a14"	"	"	"Brms1"	"	"	"Bmpr1a"	"Ccnt2"	"Coro1c"	"Hspa4l"	"Braf"	"	"	"Fam167a"	"Cyb5b"	"Pdgfrl"	"	"	"Azi2"	"	"	"	"	"Atxn7l3"	"Fbxo39"	"Bach1"	"Lrp1"	"Atxn7l3b"	"Pip4k2b"	"Espnl"	"Atp6v1g2"	"	"	"Chrna4"	"Cxxc4"
"Fam160a1"	"	"	"	"	"Cnksr2"	"Rab6a"	"Rapgef4"	"	"	"	"	"Kcnq2"	"Egr2"	"Mgat4a"	"	"	"	"	"Bcl2l11"	"	"	"Fam193b"	"Kbtbd2"	"Gtf2a2"	"Rnps1"	"	"	"	"	"Calcr"	"	"	"Nr1i3"	"Cirbp"	"	"	"	"	"Hnrnpul2"	"	"	"Cluh"	"Dhx15"	"C77080"	"Bmp2k"	"Cyth3"	"	"	"Brpf1"	"	"	"Bnc2"	"Ccser1"	"Cox5a"	"Hspe1"	"Brd1"	"	"	"Fam171a1"	"D16Ertd472e"	"Pdpk1"	"	"	"Azin1"	"	"	"	"	"Atxn7l3b"	"Fgd6"	"Bach2"	"Lrrc30"	"Aven"	"Pitpnm3"	"Esr1"	"Atrn"	"	"	"Chrna6"	"D16Ertd472e"
"Fam160b1"	"	"	"	"	"Cntn4"	"Rac1"	"Rasd1"	"	"	"	"	"Klhl20"	"Egr4"	"Mll1"	"	"	"	"	"Bcl2l13"	"	"	"Fam19a3"	"Kbtbd8"	"H3f3a"	"Rora"	"	"	"	"	"Calm1"	"	"	"Nt5dc1"	"Clec4a2"	"	"	"	"	"Hp1bp3"	"	"	"Cnot8"	"Dicer1"	"C77370"	"Bnc1"	"D1Ertd622e"	"	"	"Brsk1"	"	"	"Bnipl"	"Cd200r1"	"Cpd"	"Ift122"	"Brwd1"	"	"	"Fam217a"	"D1Ertd622e"	"Pias2"	"	"	"B3galt5"	"	"	"	"	"Aven"	"Fgfr2"	"Bahd1"	"Lsm11"	"Awat2"	"Plbd2"	"Esrra"	"Atxn7l3"	"	"	"Chst2"	"D330045A20Rik"
"Fam26e"	"	"	"	"	"Cntn5"	"Rapgef6"	"Rbfox2"	"	"	"	"	"Klhl29"	"Eif1"	"Mlxip"	"	"	"	"	"Bcl7a"	"	"	"Fam19a5"	"Kcna1"	"H3f3b"	"Rpl31"	"	"	"	"	"Calm3"	"	"	"Ntn1"	"Cltc"	"	"	"	"	"Hpgds"	"	"	"Cntn1"	"Dlg2"	"Cacna1b"	"Bnc2"	"D230025D16Rik"	"	"	"Brwd1"	"	"	"Brd4"	"Cd48"	"Cpn2"	"Igsf11"	"Brwd3"	"	"	"Fam222b"	"D430036J16Rik"	"Pmp22"	"	"	"B4galt1"	"	"	"	"	"Awat2"	"Fhl2"	"Bbx"	"Lysmd3"	"B3galt1"	"Plch2"	"Etv3"	"Axin2"	"	"	"Chsy1"	"D430041D05Rik"
"Fam46a"	"	"	"	"	"Cntnap1"	"Rbm39"	"Ret"	"	"	"	"	"Klra8"	"Elk4"	"Mmd"	"	"	"	"	"Bend3"	"	"	"Fam210a"	"Kcnc2"	"Haao"	"Rprd1a"	"	"	"	"	"Calu"	"	"	"Nufip2"	"Cnr1"	"	"	"	"	"Igsf10"	"	"	"Coa5"	"Dmrta2"	"Cacna1i"	"Bnip3l"	"D430041D05Rik"	"	"	"Bsn"	"	"	"Brk1"	"Cd55"	"Cpne8"	"Ikbkap"	"Bsn"	"	"	"Fam3c"	"D5Ertd579e"	"Pnoc"	"	"	"B4galt4"	"	"	"	"	"B230206H07Rik"	"Fkbp5"	"Bcap29"	"Mab21l1"	"B3galt4"	"Plekhm3"	"Fam107a"	"Azgp1"	"	"	"Chtf8"	"D5Ertd579e"
"Fam76b"	"	"	"	"	"Coch"	"Rbms3"	"Rev3l"	"	"	"	"	"Klrb1a"	"Elovl4"	"Mmgt1"	"	"	"	"	"Bgn"	"	"	"Fam211b"	"Kcnc3"	"Hand2"	"Rtn4r"	"	"	"	"	"Caly"	"	"	"Oas1c"	"Cntn4"	"	"	"	"	"Ikzf2"	"	"	"Col23a1"	"Dmxl1"	"Cacng2"	"Bpifc"	"D5Ertd579e"	"	"	"Btg2"	"	"	"Brpf3"	"Cdc27"	"Cpxm2"	"Il6"	"Btaf1"	"	"	"Fam91a1"	"D930016D06Rik"	"Pnpla8"	"	"	"BC018507"	"	"	"	"	"B3galt1"	"Fnbp1l"	"Bcat1"	"Man1a2"	"B3galt5"	"Pole"	"Fam109a"	"B3gat1"	"	"	"Cinp"	"D630039A03Rik"
"Fbn2"	"	"	"	"	"Col19a1"	"Rc3h2"	"Rheb"	"	"	"	"	"Kpna4"	"En2"	"Morf4l1"	"	"	"	"	"Bhlha15"	"	"	"Fam222b"	"Kcnd2"	"Helt"	"Rybp"	"	"	"	"	"Camk4"	"	"	"Olfm1"	"Col4a3"	"	"	"	"	"Il12rb1"	"	"	"Col6a1"	"Dnajb6"	"Calm1"	"Braf"	"Dcp1a"	"	"	"C130026L21Rik"	"	"	"Brsk2"	"Cdc42"	"Crat"	"Il8"	"Btbd10"	"	"	"Fbxl20"	"Dab2ip"	"Ppargc1a"	"	"	"Bach2"	"	"	"	"	"B3galt4"	"Fopnl"	"Bcl2l1"	"Maneal"	"B3gat1"	"Ppp1r9a"	"Fam160b1"	"B3gnt7"	"	"	"Cisd1"	"Dab1"
"Fbxo38"	"	"	"	"	"Colec12"	"Reln"	"Rictor"	"	"	"	"	"Kpnb1"	"Eomes"	"Morf4l2"	"	"	"	"	"Bhlhe40"	"	"	"Fancc"	"Kcnj2"	"Herpud1"	"Sdc1"	"	"	"	"	"Camsap1"	"	"	"Olfr1443"	"Coq10b"	"	"	"	"	"Il7"	"	"	"Copb1"	"Dner"	"Camk2n1"	"Brd1"	"Dcp2"	"	"	"C130074G19Rik"	"	"	"Btbd11"	"Cdc42bpa"	"Creb1"	"Ints8"	"C330027C09Rik"	"	"	"Fbxo21"	"Dad1"	"Ppp1cb"	"	"	"Bag4"	"	"	"	"	"B3gat1"	"Fosl2"	"Bcl2l13"	"Map3k3"	"B3gat3"	"Prosc"	"Fam168a"	"B4galnt1"	"	"	"Cisd2"	"Dact3"
