"mmu.miR.1264.3p"	"mmu.miR.1298.5p"	"mmu.miR.5099"	"mmu.miR.448.3p"	"mmu.miR.20a.3p"	"mmu.miR.365.3p"	"mmu.miR.664.5p"	"mmu.miR.126b.5p"	"mmu.miR.199a.5p"	"mmu.miR.363.3p"	"mmu.miR.142a.3p"	"mmu.miR.1298.3p"	"mmu.miR.99a.5p"	"mmu.miR.671.5p"	"mmu.miR.6406"	"mmu.miR.139.3p"	"mmu.miR.501.3p"	"mmu.miR.325.3p"	"mmu.miR.10b.5p"	"mmu.miR.5126"	"mmu.miR.3072.3p"	"mmu.miR.34b.5p"	"mmu.miR.1264.5p"	"mmu.miR.33.5p"	"mmu.miR.338.5p"	"mmu.miR.409.5p"	"mmu.miR.450a.5p"	"mmu.miR.467a.5p"	"mmu.miR.100.5p"	"mmu.miR.1224.5p"	"mmu.miR.148a.3p"	"mmu.miR.125b.5p"	"mmu.miR.30e.5p"	"mmu.miR.152.3p"	"mmu.miR.127.3p"	"mmu.miR.125a.5p"	"mmu.miR.204.3p"	"mmu.miR.34c.5p"	"mmu.miR.186.5p"	"mmu.miR.204.5p"	"mmu.miR.194.5p"	"mmu.miR.30d.5p"	"mmu.let.7d.3p"	"mmu.miR.132.3p"	"mmu.miR.203.3p"	"mmu.miR.382.5p"	"mmu.miR.1843a.5p"	"mmu.miR.26a.5p"	"mmu.miR.187.3p"	"mmu.miR.487b.3p"	"mmu.let.7e.5p"	"mmu.miR.674.5p"	"mmu.let.7a.5p"	"mmu.miR.431.5p"	"mmu.let.7c.5p"	"mmu.miR.666.5p"	"mmu.miR.874.3p"	"mmu.miR.491.5p"	"mmu.miR.92b.5p"	"mmu.miR.770.5p"	"mmu.miR.323.5p"
"Acsl3"	"Mob4"	"	"	"A630095E13Rik"	"Arhgef10"	"Acvr2a"	"Bsn"	"Ltk"	"Acat1"	"Actl11"	"Acsl4"	"Cyb5b"	"Etv3"	"2900026A02Rik"	"	"	"Ablim1"	"Adcy2"	"Anapc5"	"Ash2l"	"	"	"Col27a1"	"3830406C13Rik"	"Cd300a"	"Ang"	"9130401M01Rik"	"Ccdc71l"	"Fnip2"	"Abracl"	"Evi2b"	"6330403A02Rik"	"Acyp2"	"4632428N05Rik"	"4933406J08Rik"	"Abi2"	"Fjx1"	"4930506M07Rik"	"Cpeb1"	"2610507B11Rik"	"6030468B19Rik"	"6330408A02Rik"	"Ache"	"4932438A13Rik"	"Myf5"	"Adcy3"	"4833424O15Rik"	"Angel2"	"Cdc27"	"2510039O18Rik"	"Bhlhe40"	"Elk1"	"2810474O19Rik"	"Abcc5"	"2810021J22Rik"	"Adipor2"	"2310014L17Rik"	"Angel1"	"Aak1"	"2900026A02Rik"	"Plet1"	"8030411F24Rik"	"4931406B18Rik"
"Acsl4"	"Otud1"	"	"	"A830010M20Rik"	"Arl15"	"Adam10"	"Calm3"	"Nde1"	"Acot8"	"Adam10"	"Aff2"	"D430019H16Rik"	"Evi2b"	"3110062M04Rik"	"	"	"Abt1"	"Adi1"	"Angptl3"	"Atad5"	"	"	"Cplx2"	"4930402H24Rik"	"Ceacam20"	"Ankrd44"	"9330159F19Rik"	"Cideb"	"Hps3"	"Adam23"	"Fam126b"	"6330416G13Rik"	"Adam10"	"4930506M07Rik"	"4933409G03Rik"	"Acsl4"	"Glrx"	"4933411G11Rik"	"Desi1"	"2810006K23Rik"	"8430427H17Rik"	"A630023A22Rik"	"Actb"	"4933406J08Rik"	"Ptar1"	"Adipor2"	"4933426M11Rik"	"Angptl1"	"Clvs1"	"2700050L05Rik"	"Bicc1"	"Glcci1"	"3110048E14Rik"	"Abi1"	"2810474O19Rik"	"Aicda"	"2310022A10Rik"	"Antxr1"	"Abl2"	"3110082J24Rik"	"Srcin1"	"8430427H17Rik"	"4932415D10Rik"
"Acvr1"	"Rc3h1"	"	"	"A830018L16Rik"	"Atcay"	"Add3"	"Cbfa2t3"	"Pla2g10"	"Acsm5"	"Adam19"	"Ahsa2"	"E130308A19Rik"	"Fgf10"	"4632428N05Rik"	"	"	"Acad8"	"Adora3"	"Arhgap1"	"Atf2"	"	"	"Crebl2"	"4930453N24Rik"	"Cntfr"	"Arid5b"	"9930021J03Rik"	"Cln8"	"Ifi203"	"Ago1"	"Fgf10"	"8430427H17Rik"	"Adamts15"	"4930529M08Rik"	"5031414D18Rik"	"Acsm5"	"Gm13277"	"6030458C11Rik"	"Eda"	"3830406C13Rik"	"9130401M01Rik"	"AI597468"	"Adamts9"	"4933409G03Rik"	"Rnpc3"	"Aebp2"	"4933427D14Rik"	"Apc"	"Ehd3"	"2810417H13Rik"	"Bicd2"	"Gphb5"	"3110082I17Rik"	"Ablim1"	"3110082I17Rik"	"Alpl"	"2810021J22Rik"	"Antxr2"	"Acer1"	"4833439L19Rik"	"Suv39h2"	"9330171B17Rik"	"6430571L13Rik"
"Adam22"	"Rpl24"	"	"	"Abcb7"	"Atp11c"	"Adm"	"Ccdc130"	"Ralyl"	"Acvr2a"	"Adam23"	"Akirin2"	"Faxc"	"Fgf21"	"4632434I11Rik"	"	"	"Acap2"	"Aff4"	"Arl6"	"BB014433"	"	"	"Cux1"	"4931406B18Rik"	"Crebzf"	"Armcx1"	"A830010M20Rik"	"Cpsf6"	"Ilf3"	"Agps"	"Fgf21"	"9530002B09Rik"	"Adamts18"	"6030458C11Rik"	"8430427H17Rik"	"Acvr1"	"Gpr107"	"6330408A02Rik"	"Fn1"	"4930402H24Rik"	"9230110C19Rik"	"AW209491"	"Adgb"	"5031414D18Rik"	"Slmap"	"Ago2"	"5031439G07Rik"	"Arhgef10"	"Erv3"	"2810474O19Rik"	"Bud13"	"Il21"	"4930444G20Rik"	"Abt1"	"4930444G20Rik"	"Ank"	"2810474O19Rik"	"Arc"	"Acer2"	"4921517D22Rik"	"Tbc1d1"	"9930013L23Rik"	"8430427H17Rik"
"Adam24"	"Snap25"	"	"	"Abcc3"	"Atp1b1"	"Afap1l2"	"Ccdc137"	"Rbm10"	"Afap1l2"	"Adamtsl1"	"Akt1s1"	"Fgf15"	"Fgfr3"	"4833424O15Rik"	"	"	"Acpp"	"Ago4"	"Armcx1"	"Bach2"	"	"	"Dnajc11"	"4932411E22Rik"	"Csde1"	"Asap1"	"AI182371"	"Crebzf"	"Kcnk2"	"Ahcyl1"	"Fgfr3"	"9530091C08Rik"	"Adamts5"	"6430548M08Rik"	"9130401M01Rik"	"Adam10"	"Gpr157"	"6430550D23Rik"	"Gdap1l1"	"4930544G11Rik"	"9330159F19Rik"	"Aamp"	"Agr2"	"8430427H17Rik"	"Strn"	"Aig1"	"6030498E09Rik"	"Arhgef12"	"F930017D23Rik"	"3110047P20Rik"	"Calm1"	"Il33"	"4930523C07Rik"	"Acaca"	"4930523C07Rik"	"Ano5"	"3110082I17Rik"	"Arhgap27"	"Acot11"	"4921536K21Rik"	"Tbc1d5"	"A330050F15Rik"	"9330159F19Rik"
"Adamts5"	"Tma7"	"	"	"Abhd13"	"Atrnl1"	"Ago2"	"Ccdc149"	"Ripply2"	"Aftph"	"Adamtsl3"	"Alcam"	"Gabpa"	"Fzd5"	"4932414N04Rik"	"	"	"Acsl6"	"Ahr"	"Armcx2"	"Baz2b"	"	"	"Duxbl1"	"4933411K20Rik"	"Cyp2s1"	"Asb13"	"AU041133"	"Cul5"	"Klra1"	"Akap5"	"Fzd5"	"A630076J17Rik"	"Adcy2"	"6430550D23Rik"	"9330159F19Rik"	"Adamts15"	"Gxylt1"	"8030462N17Rik"	"Ggt7"	"4932411E22Rik"	"9330182L06Rik"	"Abcb10"	"Alppl2"	"9130401M01Rik"	"Zfp617"	"Akirin1"	"9930021J03Rik"	"Arih2"	"Faah"	"3110057O12Rik"	"Cav2"	"Itga6"	"4931408C20Rik"	"Acad9"	"4931408C20Rik"	"Anxa3"	"4930444G20Rik"	"Arhgdia"	"Acsbg1"	"4930430F08Rik"	"Tnfsf18"	"AI593442"	"9930104L06Rik"
"Adipor2"	"Tmem100"	"	"	"Acadsb"	"B3galt6"	"Akirin2"	"Ccnc"	"Rtn2"	"Agpat5"	"Adcy3"	"Ank3"	"Gabra1"	"Fzd8"	"4933426M11Rik"	"	"	"Acsm2"	"Ahsa2"	"Art3"	"Bbx"	"	"	"Duxbl2"	"5031410I06Rik"	"D5Ertd579e"	"Atp13a5"	"Aak1"	"Dnm3"	"Maf"	"Angel1"	"Fzd8"	"AI836003"	"Agfg1"	"8030462N17Rik"	"9930021J03Rik"	"Adamts18"	"Hes7"	"8430419L09Rik"	"Gm9"	"4933411K20Rik"	"9430020K01Rik"	"Abcb6"	"Arf3"	"9330159F19Rik"	"Zic1"	"Akr1d1"	"A930018P22Rik"	"Art3"	"Fstl1"	"3830417A13Rik"	"Cd276"	"Kat6b"	"4931428F04Rik"	"Acvr2b"	"4931428F04Rik"	"Aqp9"	"4930519G04Rik"	"Arid1b"	"Acsm2"	"4930449I24Rik"	"Uba3"	"AU018091"	"A3galt2"
"Adora3"	"Tssk4"	"	"	"Acbd3"	"BC005537"	"Akt3"	"Cdc14b"	"Slc16a4"	"Akap1"	"Adm"	"Ankrd11"	"Gm10447"	"Gpr141"	"5031439G07Rik"	"	"	"Acss2"	"Aifm2"	"Atp11c"	"Bcl2"	"	"	"Duxbl3"	"5730455P16Rik"	"Dcp1a"	"Atp8b3"	"Aatk"	"Dram2"	"Magi1"	"Ankrd52"	"Gpr141"	"AU015228"	"Ago1"	"8430419L09Rik"	"A130010J15Rik"	"Adamts5"	"Hist2h4"	"8430427H17Rik"	"Grm5"	"5031410I06Rik"	"9930021J03Rik"	"Abcg3"	"Arf4"	"9930021J03Rik"	"	"	"Alg10b"	"AI593442"	"Atf2"	"Fxr1"	"4930402K13Rik"	"Cdcp1"	"Kcnk1"	"5031439G07Rik"	"Adamts16"	"5031439G07Rik"	"Arhgef17"	"4930523C07Rik"	"Asph"	"Adam19"	"4930481A15Rik"	"	"	"Aak1"	"A530099J19Rik"
"Afap1l2"	"Vps16"	"	"	"Acot5"	"BC030336"	"Aldob"	"Cdv3"	"Slc27a3"	"Amph"	"Aff4"	"Anln"	"Hlf"	"Grhl1"	"6030458C11Rik"	"	"	"Acvr1c"	"Ankrd46"	"Atp1b4"	"Bcl2l11"	"	"	"Eif4g1"	"9130011E15Rik"	"Dda1"	"B3galt2"	"Abcb1a"	"Elk1"	"Map3k5"	"Ankrd9"	"Hoxa1"	"AU040320"	"Ago2"	"8430427H17Rik"	"A230046K03Rik"	"Adcy2"	"Hoxc6"	"9430038I01Rik"	"Homer1"	"5730455P16Rik"	"A230046K03Rik"	"Acpp"	"Arhgap21"	"A130010J15Rik"	"	"	"Amd1"	"AI837181"	"Atp5c1"	"Glod5"	"4930480E11Rik"	"Chodl"	"Lgi3"	"5430435G22Rik"	"Adamts6"	"5430435G22Rik"	"Arid3b"	"4931408C20Rik"	"Atxn1l"	"Adam1a"	"4930590J08Rik"	"	"	"Abcb6"	"AI837181"
"Aff4"	"	"	"	"	"Acox2"	"Bahd1"	"Ankrd11"	"Cenpb"	"Snx2"	"Ap1g1"	"Ago3"	"Ap3m1"	"Ift52"	"Hnrnpu"	"6330403A02Rik"	"	"	"Adam11"	"Ano6"	"Bbc3"	"Bcl2l2"	"	"	"Esrra"	"9930012K11Rik"	"Dpy30"	"Bahd1"	"Abhd3"	"Ell2"	"Map4k3"	"Arhgap26"	"Hs3st2"	"AW549877"	"Ago4"	"9430038I01Rik"	"A630023A22Rik"	"Agfg1"	"Klhl14"	"9830107B12Rik"	"Idh1"	"9130011E15Rik"	"Abcc1"	"Acsl4"	"Arhgap24"	"A230046K03Rik"	"	"	"Amd2"	"Aak1"	"BC061237"	"Gm5591"	"4930506M07Rik"	"Cluh"	"Nrarp"	"6030458C11Rik"	"Adck2"	"6430571L13Rik"	"Arl13b"	"4931428F04Rik"	"B3galt5"	"Adam22"	"4930596D02Rik"	"	"	"Abcg5"	"Aak1"
