ID	NOGNA-2M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-KL_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-HL_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-QR_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-ST_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-AB_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-KL_samtools_idxstats_miRNA_counts.txt
mmu-miR-669h-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669h-5p	12	0	0	40	17	9	15	0	0	0	53	13	19	12	23	8	7	7
mmu-miR-669i	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669k-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mmu-miR-669k-5p	0	0	0	0	11	12	1	1	0	0	0	7	0	1	2	3	4	7
mmu-miR-669l-3p	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669l-5p	66	95	29	29	22	32	41	0	13	12	19	14	12	64	58	22	33	20
mmu-miR-669m-3p	21	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0
mmu-miR-669m-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669n	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
mmu-miR-669o-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669o-5p	31	47	100	32	106	81	53	40	34	59	0	28	41	53	57	17	42	16
mmu-miR-669p-3p	0	22	0	0	8	0	5	0	52	0	22	0	0	5	5	10	5	3
mmu-miR-669p-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-670-3p	3	26	49	153	24	27	16	22	41	35	44	18	15	12	8	12	11	8
mmu-miR-670-5p	17	42	28	78	81	51	114	47	41	5	41	17	46	41	93	53	34	17
mmu-miR-671-3p	101	83	64	0	90	104	148	12	59	58	53	125	63	118	146	118	116	60
mmu-miR-671-5p	117	130	230	184	175	92	173	175	173	278	158	190	67	104	125	119	133	86
mmu-miR-6715-3p	0	0	0	0	0	0	0	0	0	20	0	0	0	3	10	0	0	0
mmu-miR-6715-5p	17	0	0	0	21	12	6	0	0	29	0	9	0	8	9	8	7	5
mmu-miR-672-3p	0	15	0	0	54	20	42	0	58	0	24	22	51	62	36	39	30	12
mmu-miR-672-5p	307	734	477	464	998	875	1485	741	631	804	557	788	1126	1350	1514	1427	1050	840
mmu-miR-673-3p	0	29	17	0	7	39	82	15	11	22	0	32	39	66	75	53	89	56
mmu-miR-673-5p	229	129	175	359	142	248	218	299	257	296	224	217	227	234	263	238	259	135
mmu-miR-674-3p	1349	938	939	600	1802	1425	2982	1463	1122	1806	1760	1999	2398	3190	3345	2642	2305	1074
mmu-miR-674-5p	1821	2432	1154	1426	4448	3054	6725	2439	1845	1869	2120	2876	3940	6603	7295	5452	6848	3778
mmu-miR-675-3p	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-675-5p	16	10	21	28	0	11	0	0	0	1	0	1	0	1	3	9	9	4
mmu-miR-676-3p	242	162	165	319	672	546	822	295	273	267	249	572	529	746	927	823	705	519
mmu-miR-676-5p	64	17	31	75	121	26	125	52	62	68	80	153	106	121	171	169	112	51
mmu-miR-6769b-3p	0	0	0	0	0	0	6	0	0	0	0	0	12	16	21	26	2	2
mmu-miR-6769b-5p	18	20	0	31	0	29	25	27	0	31	22	11	17	40	14	26	26	29
mmu-miR-677-3p	0	0	0	0	8	0	21	0	0	0	0	0	4	8	9	8	0	8
mmu-miR-677-5p	0	0	0	0	0	0	7	0	0	0	0	1	7	8	3	0	0	0
mmu-miR-678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
mmu-miR-679-3p	0	0	0	0	5	1	12	0	0	0	0	0	0	0	0	3	0	1
mmu-miR-679-5p	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	2	1
mmu-miR-680	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-681	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	6	0
mmu-miR-682	0	0	0	0	0	0	0	0	0	0	0	0	2	8	1	0	1	0
mmu-miR-683	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-686	0	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-687	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-688	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6896-3p	8	33	22	0	86	47	20	26	24	0	53	43	13	51	102	72	67	41
mmu-miR-6896-5p	20	0	0	0	13	5	11	0	0	35	0	0	11	6	10	3	5	5
mmu-miR-6897-3p	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0
mmu-miR-6897-5p	0	0	0	0	3	0	0	0	0	0	0	0	2	2	3	1	0	3
mmu-miR-6898-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6898-5p	0	0	0	0	0	0	1	12	0	0	0	0	9	0	3	1	3	1
mmu-miR-6899-3p	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	2	1	4
mmu-miR-6899-5p	0	0	41	0	8	0	1	0	0	0	0	0	2	3	0	1	0	7
mmu-miR-690	189	136	58	168	220	153	224	144	150	38	148	212	158	351	315	203	203	203
mmu-miR-6900-3p	0	0	0	0	0	0	2	0	0	0	0	15	0	8	1	2	0	0
mmu-miR-6900-5p	0	0	0	0	0	0	9	0	0	0	13	9	0	0	1	1	3	0
mmu-miR-6901-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-6901-5p	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6902-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
mmu-miR-6902-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
mmu-miR-6903-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6903-5p	0	0	0	0	9	0	2	0	0	0	0	4	0	5	5	3	0	2
mmu-miR-6904-3p	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-6904-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-6905-3p	0	16	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-6905-5p	17	0	31	0	4	0	1	0	0	0	0	0	0	2	5	0	5	0
mmu-miR-6906-3p	0	8	0	0	0	0	0	21	0	0	0	0	0	2	2	0	1	0
mmu-miR-6906-5p	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	1	0	3
mmu-miR-6907-3p	0	0	0	0	5	0	9	0	0	0	0	0	7	6	2	7	4	1
mmu-miR-6907-5p	0	0	0	34	0	0	0	0	5	0	0	0	0	4	3	0	0	1
mmu-miR-6908-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
mmu-miR-6908-5p	0	0	0	0	0	0	4	0	0	40	0	0	0	0	0	5	4	0
mmu-miR-6909-3p	0	0	0	0	0	1	7	0	10	0	0	5	0	3	1	11	1	7
mmu-miR-6909-5p	0	8	0	0	0	6	0	0	0	0	0	0	0	1	0	2	0	1
mmu-miR-691	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6910-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3
mmu-miR-6910-5p	0	0	0	1	0	10	0	0	1	0	0	11	0	0	4	5	14	0
